Attacker,Fast Move,Fast Type,Charged Move,Charged Type,Level,Landorus (Therian),Landorus,Arceus,Arceus (Bug),Arceus (Dark),Arceus (Dragon),Arceus (Electric),Arceus (Fairy),Arceus (Fighting),Arceus (Fire),Arceus (Flying),Arceus (Ghost),Arceus (Grass),Arceus (Ground),Arceus (Ice),Arceus (Poison),Arceus (Psychic),Arceus (Rock),Arceus (Steel),Arceus (Water),Articuno (Galarian),Shadow Articuno,Articuno,Shadow Azelf,Azelf,Calyrex,Calyrex (Ice Rider),Calyrex (Shadow Rider),Celebi,Shadow Celebi,Chien-Pao,Chi-Yu,Shadow Cobalion,Cobalion,Cosmoem,Cosmog,Shadow Cresselia,Cresselia,Shadow Darkrai,Darkrai,Dialga (Origin),Shadow Dialga,Dialga,Diancie,Shadow Entei,Entei,Eternatus,Eternatus (Eternamax),Glastrier,Shadow Groudon,Groudon,Shadow Heatran,Heatran,Shadow Ho-Oh,Ho-Oh,Jirachi,Shadow Jirachi,Keldeo,Koraidon,Kubfu,Shadow Kyogre,Kyogre,Kyurem (Black),Kyurem (White),Kyurem,Shadow Latias,Latias,Shadow Latios,Latios,Shadow Lugia,Lugia,Lunala,Magearna,Manaphy,Shadow Manaphy,Marshadow,Melmetal,Shadow Melmetal,Meloetta (Aria),Meloetta (Pirouette),Meltan,Shadow Meltan,Shadow Mesprit,Mesprit,Mew,Shadow Mewtwo,Mewtwo,Mewtwo (Armored),Miraidon,Moltres (Galarian),Shadow Moltres,Moltres,Necrozma,Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Ultra),Palkia (Origin),Shadow Palkia,Palkia,Phione,Shadow Phione,Shadow Raikou,Raikou,Shadow Rayquaza,Rayquaza,Shadow Regice,Regice,Shadow Regigigas,Regigigas,Shadow Regirock,Regirock,Shadow Registeel,Registeel,Shadow Reshiram,Reshiram,Shaymin (Land),Shaymin (Sky),Solgaleo,Spectrier,Shadow Suicune,Suicune,Shadow Terrakion,Terrakion,Ting-Lu,Urshifu (Rapid Strike),Urshifu (Single Strike),Shadow Uxie,Uxie,Victini,Shadow Victini,Shadow Virizion,Virizion,Volcanion,Wo-Chien,Zacian (Crowned Sword),Zacian (Hero),Zamazenta (Crowned Shield),Zamazenta (Hero),Zapdos (Galarian),Shadow Zapdos,Zapdos,Zarude,Shadow Zekrom,Zekrom,Zeraora,Zygarde,Zygarde (Complete),Zygarde (Fifty Percent),Zygarde (Ten Percent),Deoxys,Deoxys (Attack),Deoxys (Defense),Deoxys (Speed),Genesect,Genesect (Burn),Genesect (Chill),Genesect (Douse),Genesect (Shock),Giratina (Altered),Giratina (Origin),Regidrago,Regieleki,Tapu Bulu,Tapu Fini,Tapu Koko,Tapu Lele,Thundurus,Thundurus (Therian),Tornadus,Tornadus (Therian),Xerneas,Yveltal,Blacephalon,Naganadel,Poipole,Stakataka,Buzzwole,Celesteela,Guzzlord,Kartana,Nihilego,Pheromosa,Xurkitree,Hoopa (Confined),Hoopa (Unbound),Mega Steelix,Mega Audino,Mega Camerupt,Mega Gallade,Mega Garchomp,Mega Heracross,Mega Lucario,Mega Mawile,Mega Metagross,Mega Sableye,Mega Sharpedo,Mega Tyranitar,Mega Abomasnow,Mega Absol,Mega Aerodactyl,Mega Aggron,Mega Alakazam,Mega Altaria,Mega Ampharos,Mega Banette,Mega Beedrill,Mega Blastoise,Mega Blaziken,Mega Charizard X,Mega Charizard Y,Mega Gardevoir,Mega Gengar,Mega Glalie,Mega Gyarados,Mega Houndoom,Mega Kangaskhan,Mega Lopunny,Mega Manectric,Mega Medicham,Mega Pidgeot,Mega Pinsir,Mega Salamence,Mega Sceptile,Mega Scizor,Mega Slowbro,Mega Swampert,Mega Venusaur,Mega Diancie,Primal Groudon,Primal Kyogre,Mega Mewtwo X,Mega Mewtwo Y,Mega Rayquaza,Mega Latias,Mega Latios
Shadow Regirock,Rock Throw,Rock,Focus Blast,Fighting,40,,,,,,,,,,,,,,,,,,,,,,4.922429,2.8084176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.110687,3.0612392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7800596,2.2994163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6318573,,,,,,,,,,,1.7605083,,,,,,,,,,,,,,
Alakazam,Confusion,Psychic,Fire Punch,Fire,40,,,,,,,,,,,,,,,,4.6294436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5229588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacephalon,Astonish,Ghost,Shadow Ball,Ghost,40,4.7142572,4.280603,10.741692,4.311284,7.0080957,4.336552,4.296313,4.2880855,4.313007,4.299947,4.3103175,2.7197268,4.309615,4.2899327,4.2961354,4.3059635,2.9511263,4.282762,4.277676,4.321384,2.7434874,6.564141,3.9310772,3.0229006,2.007363,1.8070072,2.857885,1.9011502,2.313067,3.8584297,7.3433156,7.689597,7.761372,3.8205686,2.2288418,0.643291,4.4326367,2.6386428,13.562726,8.911447,4.350568,7.161722,4.077514,5.327131,6.1118083,3.253299,3.5119991,8.030832,3.851752,7.6570835,4.393266,8.625741,5.3418903,8.313891,4.601142,2.3898351,3.7745864,3.8896194,4.144014,1.9131564,10.514523,4.980418,4.4759274,3.5542743,3.5120513,4.9047933,2.744633,4.8538966,2.4159036,7.4469495,3.933613,1.9121621,3.5646644,4.3016953,7.4609337,1.9282895,3.420537,5.872252,6.529974,5.700997,1.7741592,2.7760837,4.199983,2.3173072,2.3645856,4.358849,2.2162519,3.1888404,4.2157273,7.246272,6.3064184,3.2219877,1.959222,1.3839552,2.231082,1.993977,4.842819,8.398652,4.663046,3.2820263,5.2085853,8.377695,4.4154844,7.02112,3.4493983,9.512319,5.435275,15.981178,9.101496,11.031943,5.3454256,6.972223,4.225678,9.9857855,4.816662,3.5389342,3.2251053,2.1482458,2.727669,7.9856114,4.6302624,8.621664,5.4395623,6.8417635,3.1445997,5.4863715,4.633386,2.8512485,2.3605638,3.8933806,7.8944416,3.839362,5.190519,7.094281,4.369678,4.1298747,4.920708,4.0863457,3.8418832,6.717479,3.6957655,7.283653,10.293832,4.3047514,3.4029489,4.4782667,3.983407,4.4782667,3.4729323,1.4387337,1.1100978,3.5774364,2.493813,3.3046503,3.3468466,3.3764877,3.3965695,3.5991213,2.621009,3.122491,1.9715918,2.6802833,3.8106203,4.9066377,3.419073,2.6291747,3.160176,3.3249574,3.5021014,3.5489702,3.2320046,6.7588105,2.691171,2.9074035,2.2355719,5.8465333,3.1968489,3.5433733,3.2172463,3.3612833,6.5740633,1.595964,3.260575,3.2265909,10.160193,3.4285204,5.6662993,2.5487711,1.7041568,3.4327219,2.5811613,2.4683628,2.1215537,2.1191008,2.3994236,4.043109,7.7274156,1.9765533,3.481645,3.4045675,3.8438861,1.7861304,2.4917827,2.5258987,1.3665086,1.5827785,2.7557766,2.2267487,2.3813155,2.5641663,1.9787643,1.7315332,2.5161042,5.8135314,5.0312176,6.193762,5.425576,2.0830808,1.1629405,5.88298,2.2207446,3.1751206,2.2336347,2.6353614,1.8424612,2.9469154,2.4964976,12.261039,8.649664,11.035746,4.9846015,5.28528,7.5687537,6.0715547,5.072684
Genesect,Fury Cutter or Metal Claw,Bug or Steel,Magnet Bomb,Steel,40,,,,,4.2891636,,,3.0055327,,,,,,,,,4.3103104,,,,,,,,,2.732565,,,3.463382,5.627875,,,,,,1.2385969,7.0888915,,,,,,,2.325494,,,,,,,,,,,,,,,,,,,,,2.235946,,,,,,,,,,,,,,4.269655,4.4407525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3190475,,,,,,,4.0084286,,3.0599084,,,,,,3.593468,,,,,,,,,,,,,,,,,,,,,,,,2.691855,,,,,2.4644265,,,,,,,,,,,,,,6.1849437,,1.7642908,,,,,,,,,,,,,,,,1.7060018,,,,,,,,1.847497,,,,,,,,,,,,,,,,,3.2437992,,,,,,,
Toxicroak,Counter or Poison Jab,Fighting or Poison,Mud Bomb,Ground,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.511605,,,,,,,,7.0667644,4.284144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1407175,4.9551506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9678574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2840421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Muk,Poison Jab,Poison,Dark Pulse,Dark,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.678946,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6951141,,,,,,,,3.9456415,,,,,,,,,,,,,,,,2.6851647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salazzle,Poison Jab,Poison,Sludge Wave,Poison,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0247452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhydon,Mud-Slap,Ground,Surf,Water,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.169684,2.5316472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7757244,3.4213595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0475543,,,,,,,,,,,,,,,,,2.2979429,,,3.2759266,,,,,,,,,,,,,,,,2.3505669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9235126,,,,,,,,,,,,,,,,,
Shadow Granbull,Charm,Fairy,Frustration,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.213837,3.767368,,,,,,,,,,,,,,,,,,,2.5959666,2.0599096,,,,,,7.3021636,,,,,,,,,,,,,,,,,,,,,,,,4.092574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6722078,,2.0789156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8659989,,,,,,,,,,,3.589337,,,,,,,1.1975034,,,,,,,,,,,,,,,,2.2608066,,,,1.5498712,,,,2.413412,,,,,,,,,,,,,,,,2.0264137,,,,,,,,,,,,,,,,
Moltres (Galarian),Wing Attack,Flying,Return,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7816124,3.6253643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0978832,,,,,1.5898787,,,,,,,,,2.1567304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Crustle,Fury Cutter or Smack Down,Bug or Rock,Rock Slide,Rock,40,,,,,,,,,,,,,,,,,,,,,,3.5966206,2.156053,,,2.8529894,,,3.9404635,6.187262,,,,,,,,,,,,,,,,,,,,,,,,,2.3174727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1393156,1.8824089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2867293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.502951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2883226,,,,,,,,,,,,,,
Shadow Ho-Oh,Hidden Power Bug or Hidden Power Flying or Hidden Power Ground or Hidden Power Ice or Hidden Power Poison or Hidden Power Rock or Incinerate or Steel Wing,Bug or Fire or Flying or Ground or Ice or Poison or Rock or Steel,Sacred Fire+,Fire,40,,,,2.5452094,,,,3.268886,,,,,2.5430565,,2.5430253,,,,2.5347593,,,,,,,1.5619513,2.6113129,,2.0124817,3.402672,,,3.90312,2.4046807,,,,,,,,,,,,,,,2.3510036,,,,2.628144,,,2.2216158,3.5754943,,,,,,,,,,,,,,,,2.3152075,,,,2.1113253,3.422382,,,1.070348,1.6531235,,,,,,,,,,,,,2.2497895,,,,,,,,,,,5.2000203,3.0052752,,,,,4.6397796,2.765588,,,2.0894103,1.621326,1.9815515,,,,,,,,,,,,,3.3228045,2.0755246,,2.2518916,2.6057274,3.3010447,2.9619741,,,,,2.039631,,,,,,,,,,,,1.3187461,1.2738091,1.2767384,1.2635046,1.3155671,,,,,2.0384731,,,2.8016934,,,,,2.591751,,,,,,1.6741757,2.0485923,,1.1783702,,0.8253323,,,4.441072,1.9846869,1.8614738,,,,1.1928295,1.1430645,1.2958379,1.8262932,,,,0.76324487,,,2.3593123,,,,,0.9421347,,,,,1.9660562,,1.0994153,,,,1.8498362,,,,1.3238198,,1.3449069,0.93538153,,,1.4911369,,,,,,,,
Aurorus,Frost Breath or Rock Throw,Ice or Rock,Meteor Beam,Rock,40,,,,,,,,,,,,,,,,,,,,,,3.3656318,2.0442662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.098374,2.4054916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8786428,1.7213142,,,,,,,,,,,,3.4628055,2.1029334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7192068,,3.7192068,2.851653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2618585,,,,,,,,,,,,,,,,,,,,1.1967156,,,,,,,,,,,,1.911862,,,,,,,,,,,3.8984897,,
Shadow Latias,Charm or Dragon Breath or Zen Headbutt,Dragon or Fairy or Psychic,Psychic,Psychic,40,,,,,,3.4869578,,,2.7272675,,,,,,,2.7293909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1935413,5.2303743,,,,,,,,,,2.159411,2.3121433,1.3157837,,,,,,,4.265083,6.477709,3.740627,,,,,,,2.1563227,,,,,,,,,,,,,3.231409,,,,,,,,3.3277416,5.463339,3.2736182,,,,,,,,,,,,,,,5.590868,3.378924,,,,,,,3.684466,2.2374232,,2.012221,,,,,,,,,,,,,2.7305088,2.1853437,,,,,3.1589715,,,,,,,,,,,,,,,3.144663,2.9376526,1.6893619,,,,,,,,,,,,,,1.5736004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7919364,,,,1.1942108,1.8472683,,,1.6149095,,,,,1.5033455,,,,,,,,,,1.7050406,,,,,,,,6.6796894
Shadow Ninetales (Alola),Charm or Powder Snow,Fairy or Ice,Ice Beam,Ice,40,,2.0543942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.101312,1.8285278,,,,,,,,,,,,,,,,,,,,,2.6035836,,,,,,,,,,,,,,,,,,,,2.3767173,2.1422565,2.3767173,1.8333055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3135284,,,,,,,,,,,,,,,,2.5130382,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7441689,1.2220016,,,,,,,,,,3.48237,,
Shadow Dragonite,Dragon Tail or Steel Wing,Dragon or Steel,Dragon Claw,Dragon,40,,,3.9237943,,,2.4645998,,4.0486507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.360615,,,,,,,,1.9933441,4.837526,,,,,,,,,,,,,,,2.3577251,2.1354523,2.197554,4.729207,2.4995065,3.6101074,2.165204,,,,,,,,,,,,,,,,,,,,2.3467314,,,,,,,2.02291,2.3755739,3.7175775,2.341531,,,,,,,,,5.9953804,3.5982375,,,,,3.78281,2.3167603,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.041239,2.3678136,,2.3056803,2.0682359,2.3056803,1.7615905,,,,,,,,,,2.2465115,1.9876999,1.1434885,,,,,,,,,,,,,1.6912526,,,,,1.0782315,,,,,,,,,,,1.4744858,,,,,1.992872,,,,,,,,,1.2398667,,,,,1.2839808,,,,,,,1.9691523,,,,,,1.5820389,,,,,,,,,,,,5.138175,3.8080986
Revavroom,Poison Jab,Poison,Acid Spray,Poison,40,,,,,,,,4.6263165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6423156,,,,,,,,3.881586,,,,,,,,,,,,,,,,2.6069348,,,,,,,,,,,,,,,,2.4725654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Muk,Poison Jab,Poison,Thunder Punch,Electric,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6951141,,3.6866682,,,,,,,,,,,,,,,,,,,,,,2.6851647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg,Ice Fang,Ice,Icy Wind,Ice,40,2.4927492,2.5132449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.860456,2.285784,,,,,,,,,,,,2.2679327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.005439,2.6852038,3.005439,2.2922966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8412453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.039415,1.4917737,,,,,,,,,,4.347846,,
Mamoswine,Mud-Slap or Powder Snow,Ground or Ice,Return,Normal,40,3.3143656,3.42654,,,,,3.9323227,,,,5.094587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4664464,,4.100984,,,,,,,,,4.666997,2.9124537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5522537,,,,,,,,,,,,,5.039021,3.060087,4.9137254,3.0021722,,,,,,,,,,,,3.3679545,,,,,,,,,,,,,,,,,,,,,,,6.0646796,3.8783646,,5.5257945,3.3875222,2.7155087,4.0191936,3.622869,4.0191936,3.0846233,,,,,,,,,,,,2.2865443,2.0668278,,,2.9296687,,3.3986502,3.6722033,,,,,,,2.129612,,,,,,2.541407,,2.4958982,,,,,,,2.4627128,,,,,,,,,,,,,2.712854,,,,,,,,,,,,,,,1.8208007,,,,2.8818884,1.9914804,,,,,,,,,,5.8438783,,
Shadow Mewtwo,Confusion or Psycho Cut,Psychic,Thunderbolt,Electric,40,,,3.8458896,3.7796214,,,,3.7815619,2.9871445,3.7792597,2.7917078,3.7981057,,,,2.9999855,4.501412,,,2.7932558,2.4200335,,,4.838779,2.8551025,,4.635432,,,,,,,,,,6.781723,4.5387645,,,,,,,,2.7722368,,6.888938,,,,,,,,4.2064033,6.6849647,1.8982158,,1.3861833,4.8375707,2.730936,,,,,,,,6.247861,3.6814463,3.7101066,,2.3620844,3.8896966,2.3092797,,,,,,,6.258375,3.7587028,3.733366,5.60948,3.4884794,4.81763,,,,,3.461307,3.820111,,,3.7252414,,3.6193445,1.8760715,3.0346508,,,4.604243,2.769209,7.5308337,4.5315266,5.834255,3.531975,,,,,,,,,3.8250687,2.5984159,4.430851,2.6628232,4.045485,2.4112358,,1.7325103,,7.5885954,4.683868,3.7682939,6.431625,,,2.6960752,,,3.715044,,3.0014846,1.8513902,5.0877857,2.9609938,,,,,,,,,2.5225255,,5.3754444,3.8513155,,,,,,4.4006624,4.0755143,,,,2.9022896,,3.7743945,2.6894274,2.7516286,2.0240486,2.2208462,2.9970977,2.4735038,,2.3899448,1.6557813,,2.4440575,2.4235275,,,2.7165132,1.3650393,,,,,2.1973672,,2.203119,,1.8929543,1.7568835,,3.3793592,,,,,,1.5230191,,2.6516526,,,1.8793663,1.2441467,1.6657863,1.4029139,,,2.7988634,1.783467,,,,1.9940393,1.6477599,,1.6465915,1.3028221,,2.5197604,,,1.884211,,,,,5.0521016,5.6560807,7.066574,5.3973665,,
Shadow Toxicroak,Counter or Poison Jab,Fighting or Poison,Shadow Ball,Ghost,40,,,4.734416,,,,,4.5964956,,,,,,,,,,,,,,,,,,,,,,,2.1813912,4.2021294,6.3887467,3.9123642,,,,,6.5003605,3.8261156,4.0998845,6.899696,3.98524,,,,,,3.9836571,,,,,,,,,,,,,,,3.553254,,,,,,,,,,,,,3.214433,5.548067,,,1.7143832,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0725536,4.371811,7.998183,4.859952,7.0467076,4.3797326,,,,,,,,,,,,,,,,,,,,,,,4.2356825,4.8551264,,,,,,,,,,,,,,,,,,,,,,,,,,2.5712466,4.360434,3.5780096,,,,,,3.5682383,,,,,3.5299788,,,,,,,,,,,2.6400888,,,,,,,,,,1.9429005,,1.6090786,,3.2333844,,2.4359758,,,,,,,,,,,2.9461484,,2.4833817,,,,,,,,,,,,,,,,,,,
Cryogonal,Frost Breath,Ice,Solar Beam,Grass,40,3.3052173,3.443747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0304623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00945,,
Tapu Lele,Confusion,Psychic,Moonblast,Fairy,40,,,,,,,,,,,,,,,,4.4384813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2474427,1.4312838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Aggron,Iron Tail or Smack Down,Rock or Steel,Meteor Beam,Rock,40,,,,2.8563519,,,,3.3388345,,2.8636675,2.8589835,,,,2.852251,,,,,,2.365567,2.902532,1.7127271,,,,2.939439,,,,,,,,,,,,,,,,,2.7967167,,2.203235,,,,,,,,3.3071296,1.9148561,,,,,,,,2.3879132,,2.113256,,,,,6.1759377,3.5353675,,,,,,,,,,,,,,,,,,,2.7104723,2.5690405,1.4417119,,,,,,,,,,,,,,,,,,,,,,,2.6979022,,,,,,,,,,,,,,,,,,,,,,,,,3.9112563,2.3310595,,,,,,,,,,,,,,,,,,,,,,,,,,2.16952,2.4079094,2.1144216,,,,,,,,,,,,,,,,,,1.9223506,,,,,,,,,,,,,,,,1.853866,,,1.0608625,,,1.5918303,1.1609458,2.0175674,,,,,,,,,1.2732995,,,,,,,,3.7684035,,,,,,,
Shadow Politoed,Bubble,Water,Surf,Water,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2010541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49446,,,,,,
Shadow Aggron,Iron Tail or Smack Down,Rock or Steel,Rock Tomb,Rock,40,,,,3.5795171,,,,4.200094,,3.588983,3.5812595,,,,3.558992,,,,,,2.9474974,3.592612,2.134192,,,,3.6569984,,,,,,,,,,,,,,,,,3.124434,,2.814485,,,,,,,,4.018099,2.3442779,,,,,,,,2.9417212,,2.658236,,,,,7.6186976,4.430177,,,,,,,,,,,,,,,,,,,3.4034,5.8850865,2.9516866,,,,,,,,,,,,,,,,,,,,,,,3.2819636,,,,,,,,,,,,,,,,,,,,,,,,,4.8728733,2.9164054,,,,,,,,,,,,,,,,,,,,,,,,,,2.715989,2.8810785,2.6611123,,,,,,,,,,,,,,,,,,2.386365,,,,,,,,,,,,,,,,2.3436782,,,1.3290197,,,1.9678848,1.3913124,2.496675,,,,,,,,,1.5980539,,,,,,,,4.1890917,,,,,,,
Shadow Beedrill,Poison Jab,Poison,Drill Run,Ground,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1743543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skuntank,Poison Jab,Poison,Crunch,Dark,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3996823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Regice,Frost Breath,Ice,Blizzard,Ice,40,1.8650928,1.8602266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.846962,1.6900765,,,,,,,,,,,,1.7121408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9181318,,1.6551409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.338524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5235169,1.1022565,,,,,,,,,,3.193594,,
