Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3"
Primarina,Waterfall,Hydro Cannon,50,1.0685939909144317,1.1023365841987538,1.0724838347390073,1.1050302564079695,1.0788637007310922,1.0081220780769473,1.0412696819900686,1.0562854066796987,1.0563320640316567,1.0890457395897926,1.0544112761157125,1.1053855930893806,1.085603669722188,1.150337422737867,1.0737521513445358,1.130551531861311,1.0677144202123376,1.0988495672682763,1.0652433165611683,1.1116664672307193,1.0626063510792347,1.1179813163399137,1.0730575349508045,1.1230914091031052,1.068346459608766,1.1248032444314524,1.0714243831801844,1.1401692527421863,1.0333267337418202,1.0762199335360965,1.064416897044893,1.1159695435174855,1.0682759227740322,1.1005701634616154,1.090752491228548,1.1452827742177665,1.0282795049401694,1.091329185053549
Torterra,Razor Leaf,Frenzy Plant,50,1.2671021956397772,,1.2699513822878914,,1.171469415311813,,1.1743375155480058,,1.2124217149808856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Sceptile,Bullet Seed,Frenzy Plant,40,0.9902284129279267,0.97728425756315,0.988522068836895,0.9771063371160857,0.8684452033652993,0.8525743371399757,0.8831684538849021,0.8862955224301656,0.9412371070820313,0.9421118853364437,0.9248317545432068,0.9433473892013846,0.9415609319612117,0.9595504732350619,0.9500848302317111,0.9502516918251431,0.9429569893130741,0.9609108062855336,0.9289064054700032,0.9407357441845601,0.8914278253699702,0.9307110224818258,0.9204882627978832,0.9318223873047462,0.8980707257527875,0.9379014804094996,0.8794808153044981,0.92666262106703,0.8519244590316747,0.8821788202776508,0.9637811467245144,0.9556661841033403,0.9068712251089149,0.9105071399763782,0.9110039409068187,0.9576485917114613,0.8927996521492639,0.9068714945828444
Shadow Tangrowth,Vine Whip,Power Whip or Solar Beam,35,1.2252389209364136,1.2295336255072669,1.2276669353663392,1.2325336940421423,1.1390569516637263,1.0764962591022937,1.1057664162785161,1.1137385719097865,1.1641759714857824,1.1819027900039485,1.1493053838546174,1.1949800655210778,1.1398291776796654,1.192455749513144,1.1742867661014937,1.2094336295394268,1.167633590649684,1.1947218232162962,1.1559654983774021,1.2115679509400599,1.1367056613852062,1.200464843265393,1.1540936465859408,1.2092797289466544,1.143126655389369,1.2037248885504772,1.136884788070926,1.2107143298961256,1.1079007807288106,1.1650940823821947,1.162368508621916,1.2000121561304675,1.1640117033688109,1.1821476268583462,1.148178893295345,1.2347695996485608,1.1104204581133024,1.1588199371885373
Breloom,Bullet Seed or Counter,Grass Knot or Dynamic Punch,45,1.5917614604623562,1.3918598769788746,1.4404792339944459,1.2471520496298798,1.309565420355181,1.2161877218425599,1.1183893614550369,1.122346278195343,1.2057470961630552,1.1970197483844616,1.121128229694647,1.1646547394609963,1.3151573348155736,1.3248267014143533,1.3312748638686225,1.3417840853805232,1.2625439965475511,1.2771636280377738,1.3152639659637038,1.3149358558252562,1.224135742576349,1.2602845996865468,1.2923469368581892,1.2851384390832707,1.2224478632574418,1.2718549767986254,1.0809154557026126,1.1389926190863533,1.1879838916482692,1.244325951055099,1.1615886995229974,1.1759225744738093,1.286378747802337,1.2758433994950813,1.2197067588120865,1.2971731294472586,1.0910733104412529,1.1245558356477794
Kingler,Bubble,Crabhammer,40,1.249664267893959,1.1995110729611098,1.2518534546610907,1.2013712938879528,1.2964963645360208,1.1164723656383486,1.196696203644579,1.153710257163411,1.2535900477242596,1.1990639628595867,1.18502518852763,1.176796363116578,1.1879568991003615,1.1933959689945095,1.1960671747151002,1.1810154636802266,1.2149767820003319,1.1773599122245855,1.2281409695801182,1.204869364387139,1.1838152415283458,1.1819636154030762,1.2056925411476624,1.1823590449698724,1.1418208291039915,1.1705432516909324,1.120473199476484,1.175100327456794,1.0655063610606907,1.118482151256716,1.1262171261867753,1.1448162412338183,1.2132109702610585,1.183543424486221,1.1737501604204919,1.1946057374835077,1.1660407881158776,1.1580405680290269
Shadow Torterra,Razor Leaf,Frenzy Plant,30,1.327032396739508,1.2846629402157308,1.3265961314440626,1.2870682180176294,1.3826195409415525,1.1583629123413088,1.1914825103344586,1.199646697859029,1.2307851899717979,1.243328616686712,1.210528765916677,1.2574767817406354,1.234138322689647,1.2644466968936738,1.2417556837325852,1.2391414168063424,1.2151387401252545,1.2537189776007156,1.2405987306028634,1.2520981494153849,1.1934373156378137,1.2725422844577494,1.2503921419783195,1.2734987181635955,1.1887914579936703,1.2309093386336043,1.2057107602885109,1.2659677587346974,1.1537691069396472,1.2093346303297552,1.3791432152851295,1.284266735873163,1.2322970460781542,1.2226156432181485,1.2091079657718704,1.2819836124553043,1.1883528020595462,1.2397724056020931
Shadow Cacturne,Sucker Punch,Grass Knot,35,,1.3369851638132415,,1.3406326800665465,,1.2658341916487037,,1.2993556498633339,,1.5689654037149041,1.3649782111509456,1.3720015221288169,1.2063306917490813,1.197875190982082,1.5371699876100295,1.4134651341094615,1.5428160427065678,1.4812463590567684,1.3609982663188736,1.2442115616529628,1.45421092036312,1.4402711211008667,1.3881933509856723,1.3701074096983643,1.3314254079300576,1.3158252003231836,1.2637074329113964,1.3313489764663955,1.322447350111195,1.3943603577532544,1.5478713263780361,1.381800259748021,1.5265931722970514,1.4980268324026218,1.2616476234606897,1.3063954192042713,1.3861609041407466,1.3724436285605572
Torterra,Razor Leaf,Frenzy Plant,35,,,,,,,,,,,1.3821971388614167,,1.4157137315741195,,1.3928901819770207,,1.3548145982666084,,1.401182220824602,,1.3648745510975457,,1.3889429114935365,,1.3923325755412412,,1.3905842437373572,,1.3237600098182056,,1.374548566811641,,1.3645903602147231,,1.412340897322086,,1.359425396745568,
Shadow Gallade,Confusion or Charm or Low Kick,Leaf Blade,35,1.5104588769592604,1.5037442827950307,1.3627087343986464,1.3324174141749605,1.5401623424901922,1.355136513044879,1.2603739063774542,1.267739855143272,1.2383063757149615,1.2234300366985684,1.246122627951539,1.2800003476943997,1.5639357244568322,1.592055043017792,1.4825571516251874,1.497634648970467,1.4530536400326415,1.4731937557826411,1.4886266493189968,1.471736668684191,1.4183250798665792,1.4780126778883476,1.4197804906829168,1.4401532341284902,1.384192383466207,1.4302241342351476,1.2200301078810312,1.2932912527121236,1.3584303669076807,1.4547279960688975,1.2660264581828817,1.2804421456967172,1.4633058773961962,1.4506517642946877,1.3732947903559434,1.4532399128507896,1.2356193856471054,1.2911401405386973
Venusaur,Vine Whip,Frenzy Plant,35,1.4465557120592267,,1.450584797046385,,1.3833586677248821,,1.371683996555339,,1.4244448952706914,,1.4014501560761528,1.4360494382803808,1.4236064313929917,1.4433212267919302,1.3955661311036587,1.4354546167819326,1.4241020962274085,1.4185747485673728,1.3885917136427002,1.4150010507487392,1.3641991861924674,1.4113332531552512,1.4121899748442892,1.4444415800522052,1.373531564013505,1.4200553807141645,1.3723926134728843,1.44789164355323,1.2792457173092193,1.3646390830483617,1.3929740508796058,1.3803210611415107,1.3948001957081642,1.4005122282856979,1.3621979591358993,1.4395968743032188,1.32757277547728,1.3676609016576748
Kingler,Bubble,Crabhammer,30,1.4430616427789291,1.315151822654991,1.4405387958351024,1.3170065312291797,1.414335278525004,1.2368956784169527,1.386799702074668,1.267462094073629,1.453367183900856,1.3257718267704057,1.3342975414142662,1.3015899292248734,1.312924505481084,1.3091234494231845,1.3567366277103727,1.2964329090215838,1.3706581801515265,1.2965576944447728,1.360359836018045,1.3336379527404127,1.3199552411274553,1.303103162646115,1.3404708559781076,1.282984683351459,1.2800115527993474,1.2711283740570831,1.212334174865945,1.2581950994415396,1.1546213615692702,1.20463308515622,1.2544137828702817,1.2386288630366857,1.3723081955753587,1.317719618971338,1.277735113351916,1.3029835306055735,1.2919501105991604,1.2490779330533952
Zarude,Vine Whip,Power Whip,45,1.068606843280881,1.0985538641958537,1.0666427460176173,1.1034479831627022,1.0161419036168498,1.019177758718915,1.0468515795545927,1.0704769838356285,1.0972669295788464,1.12281373552282,1.1067410217579428,1.1628543778588205,1.1056968305275496,1.1727209162303212,1.083331536244678,1.1379946142400081,1.0675114175947773,1.1446385495583027,1.1289599346573997,1.1726064555425422,1.078824318445672,1.137246998874798,1.1172018612369814,1.1812311491883205,1.0832326874056917,1.1328398949686822,1.105976708360198,1.174623714671892,1.06570184650076,1.1083367358000142,1.0837335494702225,1.1323311928720972,1.080253833797853,1.1406723208584393,1.1389536151100248,1.1967529730296005,1.0765005970013481,1.1359677802940444
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,45,1.2548994012187975,1.2050026781358372,1.2555484947758944,1.2025796031771496,1.1894883119442234,1.1270111937897356,1.2718683398643666,1.2009603348714644,1.3212958184339296,1.2576076929172422,1.2080895544875758,1.2170571146000742,1.127201651295652,1.178049125188343,1.235407907771269,1.2576403415355517,1.2016343771998839,1.197356281644409,1.1664847492308323,1.2053214433313433,1.1914579463251078,1.2163424600910888,1.2237953330782938,1.2192811344195809,1.160931871403968,1.2058520580844883,1.1444964126341364,1.2162019614418527,1.1136550896842463,1.1728796520076463,1.2097643313587731,1.2299337767521932,1.1959896813102049,1.2172751833348479,1.1491075639942867,1.2256928629525041,1.2019229852101163,1.1961158454570944
Celebi,Magical Leaf,Psychic or Leaf Storm,45,1.3115059228068646,,1.3114695339986133,,1.2187902534154167,,1.2135628161354735,,1.2576462919187994,,1.2642504481394485,,1.2825339708348984,,1.2563515613182707,,1.2641533846280764,,1.2793110215543568,,1.24193151166564,,1.2789331633738263,,1.2358543911189621,,1.226830173806037,,1.2038131694800889,,1.2794994373865796,,1.260434753178392,,1.276352965259687,,1.2326835910196683,
Clawitzer,Water Gun,Crabhammer,30,1.491387403846435,1.4566534998648342,1.4888426333488665,1.4612727904966925,1.543490957967209,1.3516762871912928,1.4406470528348256,1.3878394515437573,1.49844207618126,1.4441975369750055,1.442388196934108,1.4279733666089751,1.4497533107452896,1.4807570097565685,1.4764791683777243,1.4630306745444914,1.4973616908192664,1.4526795507412993,1.4385748140703183,1.4113221452300533,1.433799720568549,1.428339484834153,1.4833726540063867,1.4634197486232752,1.4205155314895246,1.4533527252422058,1.3180522379850146,1.397843576561931,1.327828834675457,1.4079291561070815,1.3668007797580888,1.4278506091612375,1.4347632160276858,1.408874093813805,1.3897080521374483,1.447935269978764,1.381185049449779,1.3774830814145562
Shadow Tangrowth,Vine Whip,Power Whip or Solar Beam,40,1.1385380078285299,1.1387703095564394,1.14114142067075,1.1365236995460977,1.1119593476633525,1.0442848012192503,1.0676126938526334,1.078850159066723,1.1229816979428322,1.1531963719663172,1.1188114260106317,1.1655173306341946,1.10504195255999,1.1584500274561234,1.095696209733552,1.140914156822062,1.1026571688079796,1.133060491654128,1.0997102640886656,1.1464741932417781,1.085846618245606,1.1405649087622183,1.116985854328368,1.1758567560031354,1.081055498172903,1.133293193730511,1.109482599110651,1.187064997719362,1.055947440127331,1.1074555040927496,1.091021930534385,1.12847874326172,1.1032023919429184,1.1393969233873575,1.1325704152570555,1.1938504786382993,1.082219339406795,1.1336005223436634
Shadow Sharpedo,Waterfall or Bite,Crunch or Hydro Pump,35,,1.324734892366946,,1.3282460711604782,,1.3029387742711167,,1.2953669044305323,,1.415213489942349,1.3584377704289776,1.3682224703300778,1.2399894231706137,1.1904121668597838,1.4150903905004821,1.3394115307019978,1.3371351134411333,1.3173972880825502,1.5449786335691311,1.3527460701164669,1.3603241740709497,1.3487954326663925,1.4334155322044955,1.331979319255054,1.255899469450115,1.3331649057651715,1.243027692360082,1.212824036501915,1.1207840811358174,1.1499511238645908,1.2281133785573042,1.2404685666421302,1.373729370406012,1.3165381377405594,1.2536369919609618,1.2861893770338952,1.2693915079425577,1.322042478496403
Shadow Cacturne,Sucker Punch,Grass Knot,30,,1.4012443584465537,,1.407938039572369,,1.3289766784231334,,1.450948038252607,,1.6744674870392502,1.4691911855606379,1.4697817638150572,1.2585921544007241,1.232449446408673,1.6328859882603461,1.5165023974692096,1.6523435431282252,1.5879722330836095,1.4444672414331041,1.3234480788599416,1.5551408506786153,1.578604858033329,1.4469462530617887,1.4294235381390485,1.4010838301829858,1.3830963810618508,1.3308496171600823,1.3839474472882622,1.382791875530367,1.4152280560000647,1.5924179726544747,1.4385611096781379,1.6390604309440246,1.5721784526958391,1.3603076620147352,1.4106049857277645,1.4609075066879365,1.4480133496233338
Shadow Roserade,Razor Leaf,Grass Knot,50,1.173094856075316,1.043138488420713,1.1872360510077629,1.0480810800662201,1.0604071632401313,0.9175389641245385,0.9559990800009619,0.9506973918670418,1.0221354488916297,0.9891156491932015,0.9962391055754728,0.9969847168994931,1.0079123410396653,1.0037052811148126,0.9799432670582332,0.9811822640961722,1.0093720296823259,0.9810236269948993,1.0103700177479895,0.9931878869772236,0.9713758829746718,0.9962688479438926,1.0153839909869349,1.003277833437178,0.9542362238669153,0.9771798105086317,0.9349372734742438,0.9781284880493634,0.9034231441275334,0.9407553428277674,1.0024834723417722,0.9861959055382338,0.9826251094810106,0.980584380872178,0.9361032521903104,0.9966587711283957,0.9702027471284854,0.9690871779623694
Shadow Gallade,Confusion or Charm or Low Kick,Leaf Blade,40,1.4024281669010226,1.4088039957048157,1.3016278749797925,1.2870119651681207,1.4258558219231623,1.2827097231346685,1.1577106597178042,1.1505451842091974,1.1748723224497017,1.1732859034856942,1.2028418222277166,1.252786577450859,1.4945185319396639,1.5422026816600198,1.3892923034287075,1.418774269299929,1.3611322336218088,1.393546827213151,1.4177234962113323,1.407910650379084,1.3416486130546168,1.3950688312581834,1.342038747460566,1.3774593709343688,1.3170940409621896,1.3751796255347197,1.1893085230417606,1.2621627046704726,1.2914383241430916,1.3744075290737794,1.2315227454522564,1.2507076933846422,1.3934813532895265,1.3871964033348632,1.302311233850658,1.3934756799213979,1.1769524293150324,1.2238358158399627
Clawitzer,Water Gun,Crabhammer,35,1.449354170983759,1.4086380658991662,1.4484910688650454,1.4134184003022787,1.382924208056373,1.2288098204609055,1.3681282090429592,1.3517650087998478,1.333186127337198,1.323823996272699,1.3763969588329832,1.392313249474595,1.3139055428740658,1.3478984181651734,1.3451719416189367,1.3423962426011566,1.3893806753015037,1.3500198223154012,1.3885994775284913,1.3715556307934604,1.3405758248997366,1.3515412611037163,1.32901084017969,1.3353336645339051,1.2879390279209806,1.3393799865718807,1.2777495256818203,1.3685565656104788,1.2403477249317,1.3065449132764966,1.281524072699232,1.3337625517295246,1.3895720801353384,1.3605094177476216,1.356833448083446,1.4092556937445389,1.3252781966373535,1.3362342966416023
Shadow Gallade,Confusion or Charm or Low Kick,Leaf Blade,30,1.6487437219426966,1.5605136170103178,1.4727261200299613,1.3763263839244033,1.6676300824964383,1.4376361322109854,1.29438065347558,1.3072986809619764,1.3472894645841673,1.288422467888469,1.3366607816170106,1.360068534429472,1.6336488788221768,1.6529263211743939,1.5458916029770797,1.5547735033578027,1.5407993809077056,1.5410940087861489,1.5517104835767936,1.5667301459342682,1.4975228764862063,1.5216437481953158,1.521199717702871,1.5273717731431409,1.446003712329571,1.484543608543797,1.3027527414546574,1.3893660411461957,1.4209033226698833,1.4902378097378834,1.3478479087580781,1.3496783324253185,1.5665536960763398,1.531174452311835,1.4361498218647692,1.5236843734917775,1.2785139187196872,1.3273551480497916
Zarude,Vine Whip,Power Whip,40,1.1478775060136366,1.1781473227441661,1.1436881929009481,1.1800846977047161,1.0345205473973687,1.040453739497983,1.0788414619039055,1.0968793045017757,1.1293496817512323,1.1506907858961066,1.131728929719372,1.1905091018667326,1.1309025947076314,1.1877341279902558,1.1494506338216979,1.201130376411307,1.1306662975380506,1.186942963150517,1.1450077418066753,1.2035027395115332,1.1475902694146078,1.1860355243077731,1.1412060310571936,1.2099943405288034,1.1475046504615838,1.2020201075839214,1.1417553902937267,1.2011449614526273,1.1003536177652216,1.164452842766881,1.1452299145890574,1.1879798235701289,1.1144526000951775,1.1718289885383066,1.1601770012881787,1.2349196851591164,1.1028709746355423,1.158967739067174
Gyarados,Waterfall,Hydro Pump,50,1.2798735634063585,,1.2865575783402456,,1.1442371106359728,,1.23633129408009,,1.2501651810213705,,1.242864151934726,1.2722812229571023,1.2168483031744626,1.2749607127600693,1.198986258466008,1.2700807068691458,1.2501525011295163,1.26546649127168,1.2162930626911517,1.2815018308654311,1.231989266971885,1.2926797952858537,1.2408468011962301,1.2985507093880329,1.1905332855133848,1.2549739908225044,1.1953648841330775,1.2687724979391786,1.150938579387785,1.2134752770801727,1.189402283104154,1.2443111084960738,1.2147477580682648,1.2498512499559247,1.243890946938297,1.286805989408014,1.2174041559996407,1.2493787394367968
Empoleon,Metal Claw or Waterfall,Hydro Cannon,45,1.2067348702110008,1.2217972682103286,1.1381744065648085,1.152393573133524,1.2472020070218865,1.169162098174797,1.1162163497452207,1.1296034027978408,1.1544000364192932,1.1891935170025199,1.1641124520954382,1.2142096906292494,1.240856119228736,1.3004516265202033,1.226509122404373,1.2622152704205478,1.2215938926519803,1.2569502120790679,1.2715087687751208,1.2955828955334239,1.2150717458398137,1.2463393017247497,1.251005995431837,1.2849650322845398,1.2220531111445625,1.2469422128282301,1.1510581189584541,1.23259851870928,1.1569122889455887,1.2125499971586418,1.131478733432441,1.1718111498437902,1.2429349326976509,1.2341713558298206,1.2196359496635776,1.3016958832573802,1.1324873180076054,1.187920984090921
Kyogre,Waterfall,Surf,50,1.0724059164813902,1.0721095447476,1.0723879219521206,1.0748186876665795,1.0004555464139264,0.9912308678686355,1.0387075270582256,1.0444419173136612,1.0535830204354468,1.079407285084733,1.0521893157374211,1.1041398813203116,1.0785952726844423,1.1285789167297329,1.0568226279615065,1.1033302576352177,1.054201970706464,1.1087279029657453,1.0563140335077006,1.1078603534294549,1.0520954920956869,1.0820122639960863,1.069893868004296,1.1211195982301563,1.049454955822328,1.103111596795365,1.0398440572983545,1.101153315145871,1.0012073145631781,1.0629688897548266,1.041718089720993,1.0926351683328799,1.058278952081098,1.1028815993917709,1.066132158593234,1.1303803787766469,1.0501543406337477,1.0994908442057052
Shadow Exeggutor (Alola),Bullet Seed,Seed Bomb or Solar Beam,35,1.4721301948557826,1.3925275286419543,1.4771931142100212,1.4038893690123146,1.230867686853105,1.216268296841751,1.2419259815899335,1.2175812707841178,1.3213575200731837,1.2925191842714063,1.2378909630362218,1.254868301087897,1.253648644662997,1.2887521126308212,1.3224277581831387,1.2939685881138567,1.2421106573112404,1.2545607747750513,1.2991665712921254,1.2695006550982235,1.2508564969437521,1.276212084028797,1.2577336110207114,1.252337557017481,1.1846951720377672,1.2376785341612313,1.1698237995922387,1.2121612480949788,1.1424755726769271,1.1881841524801713,1.4939491958109536,1.3752431692052334,1.174188167583223,1.2089510232855138,1.1490858812866778,1.2123561051016953,1.2281099623905312,1.2336441849893043
Tangrowth,Vine Whip,Power Whip,40,1.3528037892996472,1.3697831561201408,1.3568442909136496,1.3707927915977716,1.1950408064880282,1.2041267851475146,1.2498791350167289,1.2702955420170534,1.29983500062099,1.3295604322997354,1.314887694708864,,1.3585501017152926,,1.295749403557746,,1.3103828024119482,,1.2892457187689639,,1.289371501350838,,1.3076757611537804,,1.3010001838471366,,1.3046677591204572,,1.2889691791435716,,1.2901850213674992,,1.2930522829573552,,1.299311598936983,,1.296436792309825,
Shadow Blastoise,Water Gun,Hydro Cannon,50,1.1867108832832003,1.1852505091671182,1.1857264316985623,1.1876596498310472,1.153506325841843,1.1106379722113053,1.1095116046097302,1.1311080485079508,1.166327298190229,1.2034678818843307,1.1589519138645072,1.2201913864507357,1.1632079116628737,1.2454107839770887,1.1716475081721651,1.2402661648889253,1.186413484665193,1.2336044580298997,1.1992029222035478,1.2585989107105355,1.16164670611645,1.2671638249495771,1.1777899201285518,1.2452679530376627,1.1616583066518464,1.2381092669584974,1.171998686288623,1.255822477633585,1.1409551452220534,1.2259429846867511,1.134492260933734,1.234587420519929,1.175856293996696,1.1919775095183816,1.2067633113313065,1.2995985710664024,1.1517028234730824,1.232219359113712
Gyarados,Waterfall,Aqua Tail or Hydro Pump,35,1.4757602210722123,1.4464966774954247,1.4791365470543099,1.4512105800244264,1.2850435804857443,1.2815754925481988,1.4945995004028103,1.365843376668348,1.427912050585581,1.436909307558888,1.4108627457040424,1.4490360365929038,1.3658565078945872,1.427133278094799,1.3330540581091292,1.3908026990895106,1.4189432202901864,1.4265220450830711,1.3358509316554363,1.4034182742253687,1.4029812702916908,1.4311584486841313,1.4029142142917805,1.4445879145863285,1.3200506695741943,1.3810230226741045,1.337139362881907,1.4236864183181062,1.2892814897694391,1.3594015478955088,1.3458665929032567,1.4054407551774355,1.355130016984195,1.3865996530066453,1.3947868196365638,1.453714309242229,1.3790584208405852,1.3848451757585054
Tangrowth,Vine Whip,Power Whip,30,1.4697783077087678,,1.470464832209931,,1.430078351801808,,1.4160277601743467,,1.4443949027520862,,1.448488688342193,,1.4514172484338683,,1.4573025653402316,,1.4394066406999089,,1.4251179911566265,,1.392372464029566,,1.4386444176043374,,1.4395050495228516,,1.447815954835784,,1.3611501817752902,,1.4300577041468199,,1.4170944029369612,,1.4241871433497593,,1.3822712316610384,
Exeggutor,Bullet Seed,Solar Beam,50,,,,,,,,,,,1.287534866021758,,1.265054563887165,,1.2776654916001016,,1.2568136236184688,,1.2920692395279296,,1.197464530679222,,1.2653072010570356,,1.243458557788801,,1.190425896023389,,1.189172085542549,,1.2734223531188351,,1.2622760416814123,,1.2275944330893391,,1.207866276112355,
Swampert,Mud Shot or Water Gun,Hydro Cannon,35,1.320448580199558,1.3388618490977757,1.3183067729246067,1.3393042879681678,1.313835122737583,1.2716948980619465,1.2566848110921423,1.2878945067769536,1.277294262213008,1.3259704981019511,1.26003511713438,1.3537158873161081,1.3188259565834333,1.4174296193320282,1.305466835455351,1.376889959902746,1.296245217195359,1.365925605180884,1.331182646480998,1.3972602640560898,1.2684223499654095,1.3786038828944935,1.3154617053722886,1.3917366309085293,1.2893312048035477,1.3712963610661526,1.2483095410483593,1.3536452231706442,1.2714188500951973,1.3319491382566666,1.2809610767019854,1.3679572013173904,1.2549463025080965,1.313283524352978,1.2778195696563621,1.3937456844189822,1.2299269874485068,1.3106931860811464
Shadow Exeggutor (Alola),Bullet Seed,Seed Bomb or Solar Beam,40,1.3478737078516112,1.2791099985608225,1.3474034514312274,1.2855331338635105,1.1712175105061073,1.1310002243193436,1.15216037158957,1.1441296014660347,1.2485498128061951,1.2449863870403626,1.1866965361911237,1.2146360025961183,1.2150312919195312,1.23960773091246,1.2447431333242485,1.2370045483931502,1.1965440446593074,1.1995180488626076,1.1788477872273981,1.2073086723364388,1.2117658626646968,1.2274817418796666,1.2078602764497601,1.2313074731325435,1.1501484313624517,1.201938873156835,1.0922530136813011,1.1676133963975097,1.110816119239624,1.1378820086635157,1.3884029455897213,1.285596729553584,1.1511093518080744,1.1936002606696856,1.1230538483236494,1.1927635872628537,1.1272480212481557,1.1531973960698574
Mega Abomasnow,Razor Leaf,Energy Ball,40,1.5041130210249847,1.4554880587848058,1.495207070191903,1.4573981536884437,1.468933225184991,1.2988110438557043,1.4152949328502291,1.3880584884930325,1.5469364994202206,1.4828732256663382,1.4681131397576956,1.4630364151934725,1.4365535146813009,1.4812207217054618,1.4127845345762151,1.4176304032529292,1.4657483029393426,1.4440500367701572,1.4401561131026956,1.4558127398524927,1.441587016784848,1.4478312912300886,1.454561210600723,1.4659593705585738,1.3881478986107862,1.443388070364271,1.39364411643931,1.4526821141707769,1.3427433384477778,1.3860130301341549,1.3920717583679882,1.4244274106459176,1.4255829743162636,1.4249859151377076,1.3863834588500892,1.4550303798641029,1.4625772343643546,1.4428019736241045
Shadow Feraligatr,Water Gun or Waterfall or Ice Fang,Hydro Cannon,45,1.0637568013836052,1.0702429303472234,1.0658697369117054,1.0695282822110987,1.0078527221715858,0.9667890122059537,1.0104289944990812,1.033346566663424,1.0189451846496766,1.0541957795851697,1.0246196609593274,1.0630267570157004,1.0164075848892602,1.0755623355087744,1.027414243311733,1.0776073118107876,1.0354289400912138,1.0527146741354958,1.053620725238869,1.0715088990780992,1.0203915074075336,1.0687677658106571,1.0290757023794581,1.0780498950404842,1.009746669487463,1.0651879859048297,1.0106015284332184,1.0936008714445091,0.9997249374304285,1.0560824882083637,0.9972688533667156,1.0578961807207736,1.0367073002182285,1.064327811689831,1.0446055631585232,1.0963861600572318,1.0071029247351055,1.0645831147507772
Gyarados,Waterfall,Aqua Tail or Hydro Pump,30,1.5337001277227893,,1.5376321252590306,,1.3700357074948475,,1.5958795692901866,,1.5037310476064192,,1.4713924774384968,1.5068442290456174,1.4385460429561816,1.5083491502740847,1.4131144341701956,1.4647552067011371,1.481420254514815,1.4776968712000715,1.3932455930989804,1.4653718568297474,1.4586829883237957,1.489521049726121,1.4666026412368762,1.5081647454778722,1.3807038711105193,1.4528426309015519,1.4287169911061102,1.4988040783581746,1.337220120253917,1.412788785851851,1.4612775351511014,1.4657215857268038,1.4075951960388917,1.4349077065108484,1.456965553217018,1.5109106687388651,1.4666423772343802,1.45386740760471
Inteleon,Water Gun,Hydro Cannon,40,1.0589256543832732,1.0700479388472894,1.0566612941119093,1.073608747860006,1.0985638108548024,0.9906173072007965,1.0894764110653345,1.0615092588606732,1.06458146534979,1.0584717542723987,1.0592753276053901,1.0679224873284707,1.0413690046053223,1.0715231536404746,1.0714026911670262,1.079041266202666,1.0751159065213038,1.0678571245741577,1.0977840060188395,1.1053085867708163,1.061244407172471,1.0783189527442303,1.0676551074660674,1.0781244527486764,1.0278869032836464,1.0735828292560758,1.0106555214919377,1.0823279082658066,0.988956256933272,1.0661944759222355,1.0273087784860506,1.0904730604473005,1.0674857034465384,1.0665483169329515,1.018819793290414,1.0783388256771738,1.0578634659059691,1.0719058898536256
Kyogre,Waterfall,Hydro Pump or Surf,30,1.2843693020076403,1.2766633012329494,1.2841348692998853,1.2792246621316226,1.2577491971585248,1.1719699073964671,1.213438497866966,1.2138858170688471,1.2683588204054306,1.2739130464398212,1.227681187415008,1.2712485705896897,1.2602584592722652,1.3225508789190392,1.2221632879105793,1.2682090581527181,1.248006725860436,1.2717203400422956,1.2679315900676988,1.2894779114372643,1.2201627290018748,1.2698993873419393,1.259644212420322,1.2931177673574026,1.239278311827096,1.2907451558624474,1.1996665705814582,1.264582043310707,1.193173023429505,1.2376937913698163,1.201444170273172,1.2502264314731402,1.2521769187391598,1.2545713067226167,1.2550666726656599,1.3151682825485915,1.2008434718196208,1.2504169786600101
