Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Fire),Victini,Victini,Victini,Volcanion,Volcanion,Volcanion,Entei,Entei,Entei,Reshiram,Reshiram,Reshiram,Blacephalon,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Arcanine,Flareon,Flareon,Flareon,Lampent,Lampent,Lampent,Magmar,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Ninetales,Torracat,Torracat,Torracat,Typhlosion,Typhlosion,Typhlosion
Golem,Rock Throw or Mud-Slap,Earthquake,35,1.5180798675735687,1.4637035349012946,1.2874892941464502,1.4548529305401883,1.4203563552873142,1.28642602515431,1.6002708929011495,1.4270945849510361,1.4086118499392777,1.4533023142816996,1.4321626555508973,1.2484567752516211,1.43223883754868,1.3887516273787204,1.264512912891547,1.4861825320025575,1.4398473711127766,1.2834676171083015,1.4543922935106004,1.4177887461189107,1.285369887699425,1.427972148440805,1.435278223816452,1.2758749601825963,1.3657551941668353,1.3990139775207775,1.179977850829283,1.4037787041742646,1.4048602779064794,1.2239758098029792,1.4890870245008636,1.4842372634173382,1.2323038145547927,1.3797256035931151,1.434040804198386,1.208140120965251,1.429636813131974,1.4722517936886959,1.2078092282404236,1.4306122543684587,1.437090591350079,1.2482902049291866,1.3914195501157112,1.453593983384183,1.2107068386448052,1.5190497632726176,1.459607805114199,1.3075248672013486
Landorus,Mud Shot or Rock Throw,Earth Power,40,1.2031167482330576,1.1821713122940898,1.0165459760815772,1.2161656181857075,1.2030251900884694,1.0374433600993493,1.2885008086638896,1.138262324790401,1.1201741249660828,1.202545308810855,1.2234179028555088,1.0132447464919627,1.2097403649632685,1.1733656990698913,1.130147067370993,1.2955965823215494,1.1949364146854242,1.18434198352698,1.2355271218811346,1.2321167318285713,1.1195854056231025,1.228477745829749,1.2359384749229334,1.0429989845873933,1.1876758983124147,1.2200300142478429,0.9988555410332561,1.2622635774615512,1.21753412408998,1.1488755531395918,1.184103741950636,1.2152147653110084,1.014007015297957,1.1999806454017163,1.215917710600781,1.016640736974601,1.1793900518873748,1.2233102902814663,0.9976584968403197,1.2018348441036282,1.2376119975006572,1.0022579798944302,1.1978317638416291,1.2311714209510605,1.0022502738199812,1.2106519836080885,1.2187179649760145,1.0553993789626799
Shadow Golem,Rock Throw or Mud-Slap,Rock Blast or Earthquake or Stone Edge,40,1.2066217451451973,1.1657266976666958,1.0437758221799025,1.2401565450295386,1.1697931782822866,1.1080115884332646,1.2855524324857068,1.1577047706866341,1.160169141179771,1.1646865235916275,1.1460752657302282,1.0045320784909344,1.2351175524504157,1.1383895739826313,1.118330408288295,1.2226308643075472,1.1456267664769477,1.0706620316004163,1.1698665034261557,1.1559458599086199,1.0297921629585347,1.1766603656146006,1.182943913973912,1.0258008305734645,1.1422207848291563,1.1713365906255042,0.9755867975426514,1.1664775578844768,1.1619520226608324,1.01279461880028,1.1679375699093062,1.1781669015316147,1.017951854072284,1.1316442179356765,1.1670537751071466,0.9781956973943815,1.1657831608911444,1.197677445583407,0.9902905413928204,1.1942851008758892,1.166054387730618,1.0257800005077302,1.1450222810727049,1.191864485859146,0.9864480478222234,1.260039455160182,1.2028769084419106,1.0879170197366466
Shadow Tyranitar,Smack Down,Stone Edge,50,0.9493222379321417,0.9606241036097893,0.949390518192962,1.0772309907683406,0.9628773492718854,1.0773661224722197,0.9366566788525077,0.9231332655635089,0.9628350998878255,0.9521430238728014,0.9675057064302401,0.9676761130893144,0.9483714494876164,0.9399882344609288,0.9649908219738366,0.9332767398749221,0.9120852380941008,0.9363874109636544,0.9394736385313003,0.9600023855451886,0.9729767734211409,0.9288753820501576,0.9379159335930827,0.9511201087691621,0.944518886333835,0.9869274372603701,0.9423270964434205,0.9487880519690496,0.9771252693685344,0.9747073716607544,0.9748334473494202,1.009578773893318,0.9839272882433729,0.9463062454296838,0.9892458912748028,0.9496863807121971,0.9538080925535828,0.993804132333791,0.953317917600648,0.9643084100592816,0.9959939268917658,0.9698254035977325,0.9837585382286789,1.0205280105424204,0.9844931295839341,0.9769072996400684,0.9876623440919914,1.0365151405434248
Golem (Alola),Rock Throw,Stone Edge,30,1.5973333423695963,1.5289442651781684,1.5978107959055565,1.635067600476433,1.581727558326883,1.6733437277345273,1.8544787694765983,1.513283026856833,1.8802937166153924,1.5184667324710668,1.5031074545844325,1.5295528599667554,1.6408669337698936,1.5553860114080258,1.6809370862984692,1.5897413337915107,1.5171415585984243,1.5985479052020188,1.5992683797259233,1.5582970392326634,1.610033829196557,1.5875499692005342,1.5839281417508881,1.608855847913568,1.507858018134861,1.562748761552444,1.5086340635511386,1.5225425196280675,1.5555652571301657,1.5616769614438168,1.5517352682256285,1.552538927523403,1.5694194370405956,1.5045836031494157,1.5690889305569602,1.5103773464608516,1.6027781400368375,1.6307459616053905,1.6239017971262497,1.5622451283151573,1.5859796039868284,1.5761001571506839,1.5206857716133024,1.5867897079210678,1.5227217132328492,1.6258219427380636,1.6049039257961923,1.6268207584748424
Shadow Ursaluna,Rock Smash or Tackle,High Horsepower,40,1.1659508958183848,1.142287464980952,1.041182485350665,1.2866762832991447,1.242965649424695,1.145290722636263,1.2415503786834445,1.1516574737332226,1.114583005227515,1.233420825678835,1.2241521576235628,1.101665489939342,1.2187993912096828,1.1838243865610298,1.117389986817573,1.5279594643698136,1.49176392986517,1.9822666987256794,1.2381853008056232,1.2524529471913868,1.1562870502001197,1.14136145919255,1.1474057431750577,1.0590244467212437,1.1967568349883417,1.2771256254262067,1.0835906729362743,1.25625026341693,1.221968662699314,1.1858023992553408,1.5445496682138338,1.6273758279027144,1.3131499784519727,1.252111122412826,1.3129733272613802,1.1088350017860336,1.5972890244806734,1.6955980066912466,1.3814096458329137,1.2516830846410798,1.3190674797992992,1.131277189838954,1.2187224867525701,1.3295505914230643,1.078960773112104,1.3071547476643697,1.2343173403120598,1.2029606699825717
Terrakion,Smack Down or Double Kick,Rock Slide,35,1.2198079681200649,1.229894851786935,1.2189987707858754,1.2671394128301448,1.2481135421780194,1.2796566000440115,1.2820854507034816,1.19067338213815,1.2776425065596773,1.16986970209419,1.1761358544439755,1.183204874334466,1.1807290815395928,1.1820401814494301,1.1833948850950526,1.2250295085783205,1.2157643617317446,1.229110496884113,1.2081473375133989,1.2193226930798646,1.216323960858586,1.1276899350496734,1.1469245888654573,1.1340265873963316,1.1747746021394447,1.22101284297346,1.1799238568147872,1.195613318762751,1.2320661079039177,1.203962883853308,1.2172548981401448,1.247022860997786,1.2251175463536932,1.166352212106364,1.221694353066951,1.1738797801351903,1.2026983280209715,1.26117823937146,1.2040627022235404,1.1882508640284897,1.2267013260766133,1.2082161254563089,1.1919936994618743,1.2489281604273426,1.1938915465732538,1.2616217832854373,1.2279441860931206,1.2657412644333197
Shadow Omastar,Rock Throw,Rock Slide,45,1.1754507471436233,1.1524135716760602,1.1715594923540509,1.166638935012134,1.145045802434179,1.1635920757614695,1.0614710810862646,1.0616120145947003,1.0759917321920835,1.1059105373695801,1.1198614356688894,1.1102850777029551,1.1692773119632078,1.1236514646023332,1.212155563750319,1.1563658653966404,1.1093149698705191,1.1655493773944494,1.132862047488911,1.124190240381101,1.1491050940944698,1.1259412300628193,1.133421354392212,1.1323766371929656,1.1602551986561394,1.1795470764864373,1.1591802130077637,1.1192049174420775,1.1534741474533534,1.1269102132695388,1.1689317709314289,1.1771610826373855,1.1490394520088982,1.098070480985491,1.1580156983123575,1.105570634942523,1.1239601961622494,1.1609525113442096,1.1361376891737751,1.1645752140860735,1.1667836902867665,1.1644929809030664,1.125362623083278,1.1759949268839578,1.1182898033253252,1.180985754483755,1.1594165985579117,1.1802223270181773
Krookodile,Snarl or Mud-Slap,Earthquake,30,1.4751990166287003,1.4280337487472774,1.210021102497482,1.6185580168013431,1.4219250372020948,1.5546886180826034,1.6881971943746998,1.4339676054763462,1.4986836958847112,1.5312332669807234,1.4497847122779064,1.4914753679280586,1.7463872740956508,1.4015116023985417,1.5168875074503332,1.6610666249715156,1.3865791554494684,1.423779005980397,1.7957081525927197,1.518962217773522,1.5552158161964504,1.6541682014170718,1.4841377034668264,1.382046600569847,1.4119950257593514,1.4087932724742782,1.1781954365207286,1.618036317229215,1.4821895632378284,1.3181354411098998,1.433155592104313,1.4224851477683405,1.2743197735881493,1.4641012235605364,1.442564867147026,1.2746939747725299,1.3569903533569263,1.387377965424845,1.1710830984525606,1.4355108953166802,1.4339135925104882,1.244471200369715,1.4341169434771084,1.468157382596692,1.2356282307269708,1.5664355025101915,1.4654112108581439,1.3745329962312822
Shadow Sudowoodo,Rock Throw,Meteor Beam,30,1.4570452776067007,1.3904402128378752,1.4692625308256575,1.6493829530538033,1.4438616255199446,1.6784624782058049,1.7703779870771927,1.3779772913567,1.8969015029864058,1.4670525678286885,1.4435915583784187,1.5242354566457008,1.6538496893327195,1.3954530640564555,1.759382868017514,1.735451306226709,1.4314263499695392,1.7395476285610612,1.4776055751051,1.4370544122473699,1.675093204269712,1.4745991432387315,1.4161825550776008,1.5947798187570228,1.4797096382390322,1.442042924262596,1.5140427036366284,1.529852744002473,1.4254303171777183,1.6003531117432959,1.4251905384911743,1.4156158383971664,1.4460519043416742,1.4236430619317162,1.432326271475029,1.4776868401614967,1.4511234950574048,1.4334859172243737,1.4572214965163681,1.3987611929257353,1.3937949911051677,1.4232496206354652,1.4467998764387484,1.4533017230242258,1.472699834777064,1.4742070673565064,1.4211382932413248,1.500499795584262
Garchomp,Mud Shot or Dragon Tail,Earth Power,30,1.3081506808118066,1.261091391350094,1.0966491843219712,1.303448099423079,1.298738302691939,1.0733520857025465,1.2197397605537073,1.1997537202230455,1.0028403824916199,1.2343537631855255,1.2382769249590357,1.0594403586791838,1.2746831341263516,1.1730139280322676,1.1414934223484459,1.2962592763017238,1.227640189784998,1.093853618598216,1.222627182761904,1.212180708392262,1.0848258782922873,1.2610520873890054,1.2771261646564083,1.068438250691982,1.2419494274317155,1.3002669246876957,1.0449197008817253,1.2893852003486237,1.3103406734296073,1.069010229854916,1.2777165462510507,1.3010568297590306,1.0619212537610976,1.2762447150068355,1.333209459291372,1.0486045561989628,1.2712434932615502,1.3331673442942735,1.086987502043685,1.25977285079311,1.3020372673961058,1.0591530241474842,1.2589234885472749,1.3169599436879167,1.0741419414402142,1.2619871756711987,1.2816599834391638,1.091671958491258
Gigalith,Smack Down or Mud-Slap,Meteor Beam,35,1.2810078793387827,1.2517500840796016,1.2356201855427138,1.2686419234906414,1.2535641107122029,1.275482184543934,1.401339663429288,1.245054057349453,1.3266731692962244,1.2200617053303584,1.2158894832315634,1.2337884147131404,1.2872786847806108,1.2335582753891505,1.2659867098240944,1.2727681729919742,1.2218812565507409,1.2386809417255382,1.265677355490982,1.2472706767288473,1.2354475771667335,1.2648380544359064,1.2590547168409851,1.214621585813799,1.2186442341573875,1.2531210184672226,1.1677365052935473,1.2630190536208266,1.2578399567197893,1.196339651839416,1.2565720190167537,1.2897228303343633,1.2122572732298058,1.2307297115192843,1.2773757596407993,1.1794551828856323,1.2163990344242626,1.267919586665351,1.1853383987839496,1.2361010907191015,1.2714442303424476,1.1952608436564982,1.24735116876287,1.3030293030355886,1.1776585847570045,1.3303588865134164,1.265832079420435,1.2605337928979279
Ursaluna,Rock Smash or Tackle,High Horsepower,40,1.3911059030233923,1.3889651558882408,1.237648770065798,1.5420216799342599,1.4843684838626778,1.379995881608854,1.4225319827540375,1.3848091589480527,1.2724153412720636,1.4615535051230195,1.4408049795907296,1.3045188926048528,1.5083477111283317,1.439947315109306,1.3400112874852657,1.7594861391065364,1.7161763066383395,1.5445522658478126,1.5101489182157712,1.4885580621474335,1.340199685101665,1.3546071689705355,1.368250574255678,1.2278528635033572,1.4423853962128965,1.5219864162378387,1.2959666302918322,1.4612491220035022,1.4692381529269596,1.3433178838554658,1.8241339544533717,1.9590869628550116,1.58785014574502,1.4802014716809508,1.5856011311204181,1.3195411556553533,1.8542312802115146,1.9779112116359687,1.6059938846419874,1.4130371464689684,1.475966618650677,1.251536088561248,1.4459884045374807,1.517541264424745,1.2783206241147964,1.5119116158124608,1.5050418870334328,1.4032542424765522
Aurorus,Rock Throw,Meteor Beam,45,1.2441860967495717,1.2415626013932224,1.249597137989663,1.465953014177576,1.3074980110152057,1.480142420159765,1.2592645761005343,1.2131121285953173,1.269161070355484,1.2912609313736663,1.2786708626829901,1.308158543401041,1.3357549279574314,1.2697594600382265,1.3430272281053808,1.2762660283018405,1.2538696112358712,1.3225505366218706,1.3120719096958078,1.3021060478347992,1.326938251484556,1.2929381098012598,1.2873199281478487,1.3011420406312413,1.251442752953201,1.3103365330675787,1.2554507760660656,1.2865584364117644,1.2999329536485458,1.334682023220391,1.294243885388894,1.3545744821780765,1.313790362459935,1.2604336161496825,1.3174780325803723,1.2767870655137337,1.2884755691177345,1.3562097304046197,1.2941452265876972,1.2696679253461916,1.3218812877675512,1.2874599923622094,1.2970559298472282,1.3879640207616044,1.298707897305876,1.3286328798330123,1.3403413027038589,1.3671714647798303
Lycanroc (Midday),Rock Throw,Stone Edge,30,1.5209090508620173,1.465831490076913,1.5217963130353456,1.6994004384230315,1.5073360645646778,1.7240030165628188,1.742644928772441,1.4396424290593537,1.832525164560404,1.4843800916779746,1.472408115004009,1.5440571038312065,1.647542693729554,1.4667393364473125,1.7441830445612907,1.7320789511423915,1.4861429400435713,1.7394860410693045,1.5405124654291027,1.497583082821893,1.6712271241265406,1.560628026217955,1.512020176466159,1.6522624712427507,1.5103617190574568,1.4853542918213125,1.5408507471295567,1.549283959063319,1.452324664297149,1.6188337962518773,1.4832814509485033,1.490227817634671,1.5019702962695336,1.4693331266734075,1.4841686865598591,1.5201860651044008,1.4635967246129884,1.4627242553925996,1.480401497310775,1.4744521632172405,1.4857641735203417,1.497368265170555,1.4559095425733704,1.4825922824884117,1.4809365531448857,1.4986894607015366,1.4459594160497906,1.5226893714672372
Garchomp,Mud Shot or Dragon Tail,Earth Power or Earthquake,40,1.2091980966241935,1.167137201813917,1.0175038058197485,1.1485222458523705,1.1617264407251753,0.9686575718381298,1.0942524073701847,1.076125894251726,0.9293719105537923,1.1585162213809286,1.165999053039866,0.9500257225764586,1.151951502935339,1.0539853464370497,1.0511177705624644,1.19444019546613,1.1404062210405244,0.9869415664162653,1.1015756541895858,1.09181116228125,0.9968997467468281,1.1689778193876643,1.179603021015543,0.9653157277664319,1.1626351722180392,1.2175738984184756,0.9597735873425917,1.1543130539577127,1.1960181573199986,0.990213764367101,1.179437668262461,1.1899751644812637,1.0001017803192729,1.1656159366961636,1.2148605225075955,0.9806521399104833,1.1547876294863597,1.2206572130742277,0.9706300389563204,1.1748728831950315,1.2367511082030365,0.9862542969397246,1.1784548662623737,1.205059344686321,1.007172295422629,1.186015696885878,1.2027043897906893,0.9668496069217184
Shadow Aerodactyl,Rock Throw,Rock Slide or Earth Power,50,1.0582725432872289,1.0306322955467886,1.0582438672719834,1.0744845951781161,1.0574034669120647,1.0748429586860544,1.0729738066817773,1.001310734052572,1.079239275346636,1.0326888214558891,1.031494647597817,1.0350422568697168,1.13884802011262,1.0660131148272638,1.1762132004194363,1.0593377258202794,1.0272495114163727,1.0930020144137353,1.0547966736773242,1.0656545670052346,1.0549966900162384,1.038927509500066,1.040268067573003,1.0440127879822034,1.0489899012379114,1.0673547033688915,1.0582453624762738,1.0261945391386853,1.042245530614837,1.0706046556721773,1.028006292532674,1.0806729088767828,1.0431634340602125,1.008404719477438,1.0480765881948748,1.0205960735207185,1.0419701719328383,1.0730776449502892,1.0402959818425133,1.011436486092151,1.0483346859156464,1.0117217431087229,1.0300076032931444,1.0795631032616924,1.0279931853693536,1.060509638199056,1.0673122324835038,1.1038912119365905
Aggron,Smack Down,Meteor Beam,30,1.4041399355657986,1.3954587696506948,1.40209563641693,1.7487487573653993,1.5122058072200535,1.7727411268964606,1.8306699186513096,1.4753169551354823,1.8816397058884564,1.5300313604804856,1.5314874054590721,1.5742578034044974,1.4955288663967061,1.4539682504113058,1.7028688783844657,1.5687497399813803,1.4758821496950603,1.7964887211307061,1.5276121281881783,1.5164665521244012,1.7614421369134134,1.5347262387817826,1.5198522946893556,1.5843141831772496,1.4941118915362117,1.485563476564158,1.508017736406636,1.609027566105243,1.5361356243689681,1.7012933285787626,1.4523901972059428,1.5040178222900107,1.4758829572023888,1.478344184791668,1.5005306369221354,1.564475771611391,1.4996375940362319,1.5215121963404847,1.523813838501123,1.489712594684174,1.5257845045658864,1.494117700047743,1.487448185392925,1.5450680236880652,1.5128320036022667,1.5327872822513096,1.5173827341413169,1.5743936690411975
Shadow Ursaluna,Rock Smash or Tackle,High Horsepower,35,1.3073542754371505,1.2797640942403143,1.1627744235358501,1.3345835500570151,1.280088925317276,1.2005036132582572,1.3110880464400814,1.1787468512217028,1.2287694656763344,1.2666897684160228,1.2711142246857676,1.1385158578313341,1.2712579066201255,1.233527323272635,1.2333787717873372,1.653738530429437,1.5535030651089135,2.04806438683179,1.2910936036653948,1.2904361455004205,1.3058227527184945,1.2009808907800044,1.221386203787356,1.1493951523597437,1.2405217063815588,1.2881757375769753,1.1016812221834271,1.410928210058046,1.3487361093869639,1.3611403317104214,1.683981678852787,1.7762068910664772,1.4147246678549514,1.2830296318767929,1.360751606202658,1.153860505933944,1.6481819839986642,1.7567797173734208,1.4112184716938523,1.2974597384971132,1.333906577098693,1.1864747774108109,1.2518185022926784,1.3371965986275025,1.1315172334089092,1.3515016295399886,1.274699544058063,1.2491599986495556
Shadow Tyranitar,Smack Down,Stone Edge,30,1.1348552094196263,1.1264641922555276,1.1344806845646795,1.2354073148474445,1.1066050645631391,1.2721514044464006,1.2364710494133588,1.1172257051011334,1.251091655840722,1.1445350849883735,1.1372523787251931,1.1536417715021552,1.1395117399323806,1.1055179127087755,1.1394161291712586,1.112118331944263,1.0898644459306441,1.1190117947588039,1.179902593953933,1.1510665600549852,1.1865071939793808,1.1183900463308998,1.1333378447725562,1.130459896622544,1.1091435620848646,1.1394141208909465,1.120541759727951,1.1322855728651147,1.138189319851373,1.148916836775866,1.1473298788952149,1.1669801192989497,1.1636831439419004,1.0935269939807992,1.1384546048507027,1.124569542234755,1.1152139137559887,1.1666251647184755,1.1242748364405033,1.1375607604269629,1.1619180245037142,1.170067230574748,1.1108278665765148,1.1731972035766858,1.1155321988536155,1.2042483787809901,1.1409915350291746,1.2264655719638238
Omastar,Rock Throw,Rock Slide,40,1.3881299934176474,1.3674476397987512,1.3885261629458445,1.4059638670327117,1.4017873355913635,1.411601167384035,1.3117532648321923,1.295042290318921,1.3086712945223307,1.3250450181154454,1.354959956166306,1.3357913132998271,1.3846189829470643,1.3618556386749825,1.385023928133574,1.3815071741258127,1.3534907099039348,1.4321442213147773,1.3720053883382513,1.3781498393101221,1.386265311163157,1.3843679308492918,1.3948493197650245,1.380261984752634,1.4017690488779975,1.420695557013037,1.4032037906796144,1.3653430634213028,1.3993989419018407,1.3597945139369672,1.4430464104029919,1.4533323010167816,1.4330276661841765,1.3651127006659807,1.4285879739804874,1.359191738927623,1.4071846904957988,1.47349657082886,1.4111101690500187,1.4342160468400211,1.4346904742991617,1.4371023291986078,1.3905683641386468,1.4660948696890221,1.3832346886166458,1.4697223727686501,1.4357496492364321,1.4716223445787238
Seismitoad,Mud Shot,Earth Power,40,1.585595872348104,1.544792867677768,1.3204448552178913,1.6164552520740072,1.6182682771159798,1.3590495538056935,1.5140654568432197,1.4860976258557856,1.2903458755564112,1.5847196066047151,1.577474582545522,1.3396459200069708,1.5844579852562417,1.5724189657950167,1.3249419951267456,1.6313290417325643,1.5709113980976501,1.361863969318871,1.6263563408921777,1.6315027007779457,1.3595569988440137,1.5656935706824657,1.5860459490931793,1.319794159797944,1.5892971443116382,1.6523141245726347,1.3346921164165406,1.6163165013571097,1.6324024472709429,1.3433921080935058,1.645120004428155,1.6448603374424964,1.4001876706657868,1.5520246099285664,1.6298037518200128,1.3173725608930953,1.5805188523677998,1.6542948946527523,1.3277788095440903,1.6444074747711324,1.6296274761742149,1.3707952228594327,1.6303320968160597,1.7084554934019158,1.333621188954668,1.7481088710942545,1.6439094846874298,1.4911946146384571
Donphan,Mud-Slap,Earthquake,40,1.4323837774232928,1.3696682731447636,1.2090157900221021,1.4599270057969098,1.4104056605660875,1.2274620996446757,1.4458002972185469,1.3764544143664457,1.23800126578037,1.4176049756667024,1.4175924534028963,1.204342051695021,1.4013348998932456,1.3756325984703306,1.2788534066212227,1.5442612963714535,1.4195855262355803,1.4295003582758066,1.475092869847489,1.4376046960524005,1.418379797585376,1.4649550525987796,1.4483227482490717,1.2495093809845206,1.3592486859837671,1.3943752339581297,1.1529473458783301,1.4690590653758744,1.3994628236539988,1.328629741450799,1.426318614473696,1.4394102750875017,1.1953842000129413,1.373732976462746,1.401302570395432,1.1971253314359633,1.3595675343218112,1.4059659341207114,1.1523156005429422,1.3795763619384702,1.4206315344671003,1.1613497624996485,1.3740137611653576,1.4332359243244002,1.1754141918583192,1.4803798768542806,1.4288302182649486,1.2634190849499791
Aggron,Smack Down,Meteor Beam,40,1.281518837642925,1.2805522399060003,1.282197108000566,1.5636582373978385,1.340896749375605,1.5615263784780304,1.3241528360553174,1.3133435941897826,1.589054490372682,1.3447424236697332,1.3545857886155308,1.379449926381207,1.354541788928694,1.3382965028823517,1.364310379607868,1.3317383848818543,1.320512116333493,1.4634899293767434,1.3835042575930168,1.3733380608957388,1.3939801133436538,1.37111293846044,1.3676663456995044,1.3749575146927382,1.3401146909346666,1.3759555506588745,1.3617925229669965,1.3919479216278354,1.3757252506398603,1.4787802828777774,1.3465450021832546,1.3905366461095714,1.3522765576042335,1.3627848110358245,1.4109861299624042,1.3832919865208437,1.361167600394863,1.4029655289281706,1.3805367124583372,1.3293183067034307,1.3681479285563565,1.335238686420101,1.3472895452790703,1.4226504802760327,1.3575648243002145,1.4222390484283367,1.3898683519701394,1.4507334808880528
Mamoswine,Mud-Slap,High Horsepower,40,1.2016941298460138,1.151269877307318,0.99994578242317,1.3651115331879617,1.1903007368092222,1.1771653581172894,1.3884081184515995,1.1580118449677237,1.2176408735483488,1.428888574069046,1.2257732425767356,1.1812632309691162,1.3462143157226993,1.151568686411316,1.1466915105253768,1.4162310189549958,1.1826924442579783,1.182438113054776,1.4769414284956717,1.228043628404677,1.1935197094921925,1.2988696642667672,1.2139672295039994,1.0713040027109288,1.1702552572388805,1.170553906851637,1.0020516654805574,1.3084756456034292,1.2285946863213215,1.1086875874490265,1.2337324463975308,1.1944579172004817,1.0452723472787604,1.2371141094593145,1.1890964022095083,1.0592929139863398,1.1469915269637576,1.174476712568609,0.9849588866285673,1.198673459332313,1.1880452469493195,1.0416271879144927,1.2226140138021175,1.2093001794133373,1.02083903270797,1.2836374835116366,1.1961141445073127,1.0812093860167227
Aerodactyl,Rock Throw,Rock Slide,45,1.2824561240023755,1.257825756568163,1.2830043145331063,1.2991791398198604,1.2917019323545118,1.3164330539264946,1.3040989064896562,1.2233414286367716,1.3197307304990904,1.2720980014293848,1.2640299126297994,1.26807027586778,1.2988283059953316,1.289515593774339,1.2918535756673972,1.3013758771347135,1.2715083317192801,1.3061251525704418,1.2857355226629181,1.2859434218113677,1.286520698267231,1.2760966926209933,1.294449837185885,1.2941304510036102,1.2989909987083195,1.3149595220027674,1.304100300872086,1.2699245545143225,1.2994992596995327,1.2896117568891527,1.2582180279285022,1.3119332272823505,1.2697022621742904,1.2598227304632976,1.3147060646417883,1.2718118892522903,1.257597852423273,1.2957543507000515,1.2584369588032496,1.2637291199370633,1.3140635121335231,1.2678643912710807,1.2682711534239033,1.346229908022867,1.2661715216648142,1.267097971744937,1.282982541929682,1.295613430334675
Arcanine (Hisuian),Snarl,Rock Slide,45,1.370816457406587,1.396001368993815,1.3699551603696625,1.2720219954018672,1.2860563605964033,1.276555880470093,1.5665355786991542,1.4220009701083351,1.742102994435136,1.3098291980528745,1.3726396037655657,1.3283439710060543,1.3626647354039878,1.3949862146369152,1.363553616698793,1.2461143006030169,1.2375983216025919,1.246837325187361,1.36528031668829,1.3952679573984308,1.3638466008449415,1.4334394029722817,1.4780083853482793,1.4349969505437568,1.3669566757075284,1.425992935778005,1.3641817198690493,1.3840614237215774,1.430778346143008,1.384610438545855,1.2472856964940193,1.3028921948979737,1.2404746920283163,1.3750830371246172,1.4506007816898516,1.3798734649478968,1.24312565143337,1.3036179665590693,1.2523795638030848,1.3746702142266547,1.438236942394188,1.3761858980395882,1.383540067954879,1.4585013383976875,1.370111091317565,1.4036984157452248,1.4629645745796531,1.412296268729808
Swampert,Mud Shot or Water Gun,Earthquake,45,1.4599358792439021,1.4203605638289132,1.2648035163487175,1.4373123544809483,1.400031633321997,1.2581159812812295,1.371984209680402,1.3274109514073409,1.19479824293573,1.4008159668673592,1.4147601712376294,1.2556167402469887,1.452766393265641,1.391968266564296,1.2421075020694266,1.4621555546701481,1.385276768531959,1.2923274177081132,1.4828695401391865,1.4669452297616032,1.27621253137398,1.466183558717553,1.4664768587306045,1.279475867879651,1.4111196497113072,1.4741426870912104,1.2147664238052605,1.3735100311324648,1.4264557911951352,1.2336607782583973,1.4636196788906368,1.4673689321890886,1.2757323473330777,1.3743958401518424,1.4296144365665233,1.1851561236331145,1.468725065777681,1.540024071880099,1.2073774241929314,1.4982387767742373,1.5031648515312295,1.300037219898765,1.422032007354628,1.4882980856624997,1.1925789344637274,1.482843960347045,1.454275861871508,1.3068527169995037
Rhyperior,Mud-Slap,Rock Wrecker or Earthquake,30,1.1983583934315407,1.2331974222930817,1.1156167376436872,1.1938989430296278,1.2120154879206684,1.1258285833657777,1.3261425498314194,1.2139803593909315,1.239682987853288,1.159869895410244,1.188601739209718,1.0987650566517024,1.183322523435024,1.2016426283566297,1.108699118023408,1.2070776345526442,1.1980346425870467,1.1358379374173047,1.208297190518907,1.2190116804127469,1.1446133258974818,1.1866302792837788,1.2196275047486569,1.1235193663974399,1.1755297688504003,1.2265546479003664,1.07131206694181,1.1945401456032136,1.2444356634805385,1.1169574621754865,1.2445656487154664,1.2497370890630388,1.1371398626694231,1.168150008482876,1.2251758413360512,1.0786473475221583,1.1827020733233091,1.2420229617358038,1.091617088435607,1.2472169288165,1.2334908388821966,1.1423764175158182,1.1950463023743065,1.2641771274447073,1.0743309404412196,1.2808217715465937,1.242349381628972,1.1743862487558794
Tyrantrum,Rock Throw or Dragon Tail,Meteor Beam,45,1.111529240640479,1.1022994182623438,1.1124529726057222,1.095598322789534,1.06912231910241,1.1063225383139257,1.0597518320810013,1.0324320068997133,1.060555930703527,1.0339664386018113,1.058222352125481,1.0402104894445106,1.2141452759764002,1.0687243895161866,1.2041177239242074,1.091156589214321,1.069064967388166,1.0840874135151362,1.0704954083032578,1.0709535667483665,1.0790149736753973,1.0635198220584476,1.069595443322165,1.0693664270832706,1.0555331192325348,1.0993233356914798,1.0571708357005425,1.0726632850525761,1.098694113715848,1.0707105978258915,1.0884734801484621,1.1109614989753642,1.1080742745436385,1.0724424425582113,1.1340624883337804,1.0705400970833767,1.0835137439711997,1.1264311842750636,1.084107495634419,1.052433993027718,1.097308852548874,1.0654851839689379,1.098971429246255,1.1526993833508785,1.1044765430049392,1.0983534959505163,1.1218367305793417,1.0966039429869177
