Attacker,Fast Move,Charged Move,Level,"Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Regice, Tier 5","Regice, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Aerodactyl, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Diancie, Mega Tier","Mega Diancie, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Glalie, Mega Tier","Mega Glalie, Mega Tier","Wigglytuff, Tier 3","Wigglytuff, Tier 3","Aerodactyl, Tier 3","Aerodactyl, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Cryogonal, Tier 3","Cryogonal, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Glaceon, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Glalie, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Shuckle, Tier 3","Shuckle, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
Bronzong,Confusion,Bulldoze,40,4.054924753945769,4.048022824381556,,,3.118666892607971,3.1384276865054384,,,,,,,,,3.0155372434028784,3.0370420187248057,,,4.113379711805623,4.0755429227545,,,4.151122936189063,4.148575131096789,3.968116670100645,3.9671796193102744,4.917586185801357,4.939429716847778,,,,,4.170761337004634,4.237930629350119,,,3.119463580205578,3.1138115541084495,,,,,,,,,4.079735975180602,4.03280694312676,,,,,,,3.1490243656445935,3.1595973351205897,,,,,3.049105964848322,3.05094533866343,,,,
Bronzong,Feint Attack,Psyshock,40,4.114089531884676,4.1574575003900245,3.831988360740455,3.8519648253999907,,,3.7231310077494206,3.760238685066101,3.693672999435713,3.74400383881885,3.6979373784941125,3.658548957690712,3.761016779700147,3.7987019400750905,,,,,3.9871643957117455,3.9959781684730946,3.629707796760974,3.644060827173251,4.13262211036229,4.171003318928665,,,,,,,3.6709880421623775,3.6417385977387946,4.305769755194264,4.424255608750234,3.6678141625703367,3.692645488720299,3.6629507483175408,3.6339075591005527,3.646958767061792,3.642596356061265,,,3.656532451928668,3.62326241702674,3.670097463251642,3.730565400998706,4.067572902763997,4.05123955881226,,3.8564242042019306,,,,,3.632954038517397,3.6357238367959734,3.621446429978703,3.6142644216411997,3.498959210350567,3.4237936555253228,,,4.017546476766938,4.005619466714788,,
Forretress,Bug Bite,Heavy Slam,40,2.5871034390287195,2.61446846855308,2.331988826492998,2.3406799074663733,2.326857089336964,2.346267554180917,2.449285795826259,2.431901000650688,2.4444169725284692,2.4604324641454998,2.2992995044701847,2.3303911665987016,2.3710016076802876,2.414542842871374,2.3967399432825736,2.451503813029106,2.491182072360976,2.6701244609062824,2.6611976603549325,2.6535528416515524,2.590400555842357,2.632256143798961,2.6167670898323516,2.6884291469513095,2.5760687611107347,2.6321017401944142,2.7962627866017984,2.830274365907426,2.3309112748356755,2.3351948245015968,2.2308896356045813,2.288263787262039,2.6959322609650296,2.8336371525574955,2.522379218696448,2.5617326689243174,2.4178727776475704,2.4633020478696617,2.385623223615588,2.428163773393664,2.3904117044413375,2.4750437826370133,2.381711543527564,2.3950733869974665,2.2966174479565318,2.388256444856009,2.562391263463694,2.655035353519,2.0862119986382424,2.0982968385189675,2.506062486868068,2.4864926471431397,2.318972578884021,2.386222170708925,2.4196897113727753,2.461654933688811,2.4047902804611327,2.4476229742548936,2.2757494761033596,2.2585307491424107,2.400991690158708,2.4374877456099187,2.690876156449679,2.704635034355609,2.8463921415877502,2.6978586684512487
Forretress,Struggle Bug,Heavy Slam,40,2.8815652592103738,2.9446024543097558,2.6557507035709658,2.6966627567242796,2.647025262778101,2.700862229917811,2.6074612310395486,2.6330888354037483,2.632091638543248,2.6734789372370598,2.5673247270133897,2.6020664247798098,2.518693469173141,2.557166199483888,2.5508806762224463,2.6103532605372886,2.7002511128340934,2.897682749289131,2.8587903286165504,2.8910649803010062,2.9015437566179147,2.9900289670501135,2.933625639251984,3.023137974202101,2.877413583943858,2.9355582536118963,3.1310853277266006,3.2014344274003608,2.553057732086463,2.5953306710821074,2.4760389420358893,2.599201192678658,2.977582838527374,3.0725434058723997,2.8466001461468324,2.9036128241278174,2.625144808651689,2.658754834047596,2.6007522142737343,2.6468382289963177,2.5534889687450764,2.609047979980727,2.606616591822125,2.607298020214488,2.5553140751314483,2.662435395872288,2.8118634040445087,2.903736107648254,2.210969466144749,2.227976942573222,2.6642612439545763,2.6477542269045014,2.541377095821803,2.6040647101103174,2.633044263597222,2.654287760757277,2.5424002326263473,2.581444306647436,2.515346290384898,2.5026862285101124,2.553747694187523,2.5865730378028995,3.105729259760704,3.1230160625333947,3.3474035317037485,3.1778412872624764
Forretress,Bug Bite,Mirror Shot,40,3.028337830320631,3.0593849250761918,2.766983795848033,2.7628126754979716,2.7605303053068013,2.7680954266414903,2.8780861980977037,2.8580688390614397,2.873754032565976,2.88471998417629,2.702321460722325,2.7186615361558113,2.8097679617943294,2.846421103088889,2.8333082301230164,2.8858372564124513,2.8874935991892325,3.101239543430475,3.097360341273766,3.079493031322186,2.9836127031750164,3.0398259641346335,3.062579757242369,3.131520481401083,3.024339303333008,3.0726853054795886,3.2313778458942815,3.268972761700875,2.7061992444779435,2.723831078621849,2.6565815728252895,2.7054161319152943,3.1090298108365224,3.2650911443486867,2.934115677712054,2.979127466279932,2.8512325476278164,2.8961213970183137,2.7618927309701897,2.807826773103831,2.7956661798119233,2.8667962688585282,2.7983331515982464,2.807416308785398,2.7127185187983245,2.801817665464676,2.970457137261637,3.070041953634057,2.4596796759566186,2.464320910240085,2.9072260715705567,2.8751796570545602,2.7369650869043194,2.799703742724095,2.83889492440364,2.8809012648978305,2.8111567927381196,2.8489694068415004,2.6551318525322047,2.6422774865684606,2.8362617101788845,2.8637383895540593,3.126812366683707,3.145409310455022,3.2314143606472654,3.116365483128717
Forretress,Struggle Bug,Mirror Shot,40,3.3010106814734157,3.3668965592808315,3.0710685594988,3.109542838532839,3.061091100298009,3.1108712861608856,3.021765098355918,3.0469198613286093,3.005843191818738,3.0745702553155145,2.952776823417837,2.981248749612249,2.9274433649299016,2.965606128836015,2.956376059159642,3.027366014110857,3.073420655049904,3.3089633003339,3.2578766288663132,3.287495977118403,3.2467606270554934,3.369925506833974,3.334010288398119,3.443732069583981,3.285029982874933,3.3587443403646886,3.498811574510833,3.612042771437605,2.9480490665202637,2.9808632665720007,2.8930793999495568,3.008811203567122,3.3484411998179953,3.487769457052922,3.2138410842579908,3.295342220513756,3.0375167408845885,3.0700629711649277,2.9752112620055366,3.0122330197607283,2.907239651113377,2.986735175035327,2.9950312937013974,3.0071868416347836,2.9575244070475613,3.05467635821956,3.2005136983818994,3.2904037673003423,2.574682563732144,2.5773623810204995,3.0681824935743744,3.0208583288886115,2.932031372848701,3.001199597957059,3.0432198805868858,3.060389407344874,2.918063748764558,2.962533724162078,2.897224377506404,2.866624969795938,2.9655903839191406,2.986649041639128,3.515269815451225,3.5592327754787134,3.6898420290099336,3.5515192707415593
Forretress,Bug Bite,Return,40,3.9321426290831467,3.99122520866955,3.274948681832328,3.297514684658195,3.980156405492769,3.9865428985318205,3.544636168409452,3.5545881655999234,3.535293443863409,3.6015829195778806,3.2670179644608495,3.3053225564722157,3.461208796551649,3.5252546794540227,4.350745950925233,4.4206095140273005,5.046466039227156,5.407875833908719,4.30699899991186,4.339263534399241,5.194327386593969,5.280054397103887,4.062086878186015,4.185558548520673,3.942422185966666,4.0381739143438775,8.039729424719637,8.079709045678936,,,,3.2903722404275535,4.322047436169361,4.513921658111213,4.852572766249136,4.97211899226203,4.366125447818662,4.407050728366014,3.3770272984521457,3.4319690919858523,3.5197022859120044,3.6411164477217413,3.4138520313825724,3.445772772510956,3.3234397783755325,3.446198441048096,4.0390718108902535,4.194895407334492,,,3.7165518219267883,3.6656555291477777,3.338938601918405,3.4313315752626607,4.161059003215174,4.185992873676187,3.548488286571374,3.6183451234751356,3.6569986538019967,3.6080901762632513,,,4.243178378677908,4.279345703297158,4.4193312996292775,4.300294428732051
Forretress,Bug Bite,Earthquake,40,4.233329136640069,4.157359563840594,3.5230567691284302,3.4479406252102462,2.718285580514772,2.673605691728276,3.9876897419033006,3.801739070703131,3.987973643654553,3.8017095449796683,3.4944855262564727,3.430576380828898,3.7361288069711436,3.6767791278349953,2.8517352447002904,2.831344281271526,3.168160685257126,3.226225618943448,4.550424684325409,4.373749231460172,5.8794886228100305,5.628385954581949,4.304450714835722,4.308323377888141,4.098998158779161,4.1252222157834435,5.243373666603344,4.987752515000028,,,,3.4278387799764407,4.411135841287753,4.5306918992506935,5.101881340227424,5.117612990848905,2.841119169986942,2.820709807400634,3.553313883395298,3.5308886845580907,3.686470665836314,3.7371015475324416,3.6474434465472383,3.6115557405026446,3.443029470036804,3.5029115523396928,4.198504838716834,4.260039136577589,,,3.777733154698781,3.6874761749066276,3.5698264852798323,3.5771896251103876,2.7121831766995435,2.7773476973525737,3.6698533230838013,3.6560757657625036,3.2071920957683226,3.2138453912071308,2.8330881569806587,2.841945599926617,7.391288408523188,7.260934673859703,3.3919380925004514,3.1322638468091832
Forretress,Struggle Bug,Return,40,4.467616486592964,4.537173886160892,3.8571483131012148,3.905405445484974,,,3.7413408223833184,3.7605263616409172,3.7253829388121025,3.800402596318258,3.71350861262012,3.7496735921592412,3.6035293943395357,3.6529840502065936,4.457403951403594,4.514043604260158,5.286905707394749,5.66664261891752,4.586618645562231,4.616553149862991,5.946623471509886,6.050993597030845,4.620870590590633,4.762547548144801,4.461141531304676,4.569334439972609,,,,,,3.7717705707350184,4.718830292902371,4.913386538658985,5.715226892495241,5.83858431955409,,,3.709211784086897,3.746062568104866,3.6405612295093284,3.7589301725024473,3.754326638188733,3.7532200925024486,3.7815031812164968,3.899623977797476,4.492208310418022,4.59694182076829,,,3.947536669971271,3.8865051576871563,3.6768396719282954,3.744407767136613,,,3.6816740061526323,3.72840650840038,4.107555851042099,4.070006333832379,,,5.167177321777255,5.198610262161648,,
Forretress,Struggle Bug,Earthquake,40,4.89148475054422,4.769743971841025,4.183906324536578,4.128395167850273,3.204745727742174,3.171206352060031,4.168757854522319,4.108000367022663,4.225205607560051,4.117134045923332,4.00750322919003,3.9325305059757207,3.8678254490025976,3.8403952313895218,3.033670406334727,3.0173353223853954,3.4914028926104854,3.6158673971100446,4.878097839644716,4.7710763516038925,6.776415910931927,6.5887933316276035,4.9835199217814505,4.970763282083461,4.654799242464872,4.75710379125726,5.967752971063723,5.856012118965635,,,,3.96561266174251,4.863373977674827,5.012001192979201,5.9619698597563175,5.988660053882216,3.1262214567917765,3.1058215708330694,3.8887043255368767,3.911355000914823,3.8438859448333367,3.884705138508534,4.022351224619854,3.965355958382718,3.925222138795687,4.0055065701633366,4.688299688404463,4.729000678899815,,,4.008325800059186,3.960344366375225,3.918367107005398,3.925352926886245,3.024838034168282,3.067856145256229,3.8581248233141117,3.8429302184393186,3.630723780280075,3.6113839752851273,3.068168412887199,3.0207852473933063,,,4.177507158226296,3.855422205165601
Forretress,Bug Bite,Rock Tomb,40,4.963796658455062,4.896834776292989,3.1726897612997513,3.137103587595449,4.224074397060449,4.1419976649165084,3.3888496570426105,3.2822073354643546,3.330876872979998,3.319004098741534,3.12465492537932,3.096355734008107,3.2206496116677727,3.2364933917792227,,,,,5.245083592399432,5.147533872551675,3.5631959380409057,3.5713115176837804,4.999772495619057,4.9764756517297,4.871378960368472,4.873454095759607,7.9471712511148525,7.726122256922361,,,,3.059569834695928,5.182844242205041,5.298186954694878,3.405584989186797,3.4337969854060804,4.425954230421535,4.401904613330252,3.20355523091658,3.2146675649371463,4.344438036215101,4.422320270275417,3.22369019951451,3.200152834695989,3.081139815582442,3.1582394310129103,4.925405797076619,4.9872556797147105,,,4.5306983016938,4.40168838952956,4.2145589534154055,4.235208038562248,4.330727487328988,4.3202060258097505,4.374489575566904,4.3533928002254445,3.049182751256527,3.0106391254791114,4.51733129378521,4.46305763105543,3.683929264693808,3.6680508059793535,5.173204731826345,5.059556782716505
Forretress,Struggle Bug,Rock Tomb,40,5.406173012969751,5.4607442447276275,3.5472750733482625,3.596661700451861,,,3.521426125212233,3.525153273953713,3.4943956878196425,3.5519165104100794,3.443485254368892,3.431797316938005,3.354456273704268,3.3674523910983036,,,,,5.403051115708351,5.428211840983263,3.912215674387903,4.0194971754597715,5.479903958672318,5.562758634868238,5.339768294233738,5.392911464496259,,,,,,3.4349336604374434,5.51537711559033,5.649115260156566,3.7764378418676494,3.86077551515178,,,3.4361112222348074,3.438685569005914,4.4274622796718095,4.502197625567994,3.468275912099285,3.4295078430530963,3.383921438859579,3.4655047170757647,5.306621491925354,5.344590118283992,,,4.7045495707291005,4.572422125655491,4.513563010958746,4.512678239694958,,,4.444462834472416,4.432683653895179,3.3279919805085605,3.288073671978854,4.578513342707894,4.543262972454343,4.2289602266795105,4.205693412127239,,
Stunfisk (Galarian),Metal Claw,Flash Cannon,40,2.4444258807087094,2.427062524425438,2.44609819947312,2.42717248829736,2.4365750850558516,2.4311775234446555,2.509535711707463,2.482614996360484,2.7467079980919378,2.5490236825603487,2.490055172738216,2.4700824994510495,2.411252377470323,2.362746591272383,2.3300576586444763,2.353822607533127,2.3048544287994535,2.439184622852868,2.5081041525932397,2.498537443489531,2.499031635749972,2.5328583886685143,2.5231626308143125,2.552521789128699,2.3923132885576686,2.4351505853992994,2.4505480087191986,2.4505608860287538,2.4194076181010735,2.454369389920696,2.4354081127477683,2.4593578788012365,2.5419196310596877,2.634376683655892,2.460705440228071,2.4984345326695063,2.4734441440385706,2.4964348505210174,2.526117873830758,2.5555154984984574,2.386724872987463,2.4566866884786345,2.44757317928681,2.371647987977891,2.4355193147154464,2.509664559548514,2.377675940729327,2.425766892354984,2.6000831088930143,2.5571902035010026,2.5681003955271,2.5501515371496724,2.3015236729217396,2.342009934809763,2.5502163113063547,2.564501459090077,2.4873526628900073,2.493487937267698,2.3023775327507314,2.2795955990372447,2.4860941322024,2.505042215708388,2.4804368635324336,2.5069510931388463,2.406548239922148,2.4184224237940475
Stunfisk (Galarian),Metal Claw,Earthquake,40,2.804764995621439,2.7665149876314015,2.805457853897153,2.7630775240995322,2.2701230523017975,2.2582100993219867,2.888155474016597,2.8297842149920482,3.1499029853632603,2.903378669590048,2.8468951614371014,2.7990742773891553,2.7380349288103196,2.6628534258211443,,,2.1306877360184897,2.2456338330463606,2.8527419908739957,2.83290313346599,3.4531664769519534,3.4320662300050047,2.9177196633929965,2.903758666600521,2.750241645893364,2.7719265887740505,2.815890642960406,2.7837644392149676,2.7788828350144317,2.775316420006869,2.8163764999192065,2.7886806996669704,2.9312717366554537,2.9869810990470635,3.3540805174817296,3.3364302321390933,2.2852487695449826,2.281296919354782,2.88555406554974,2.888967725472723,2.7415406297975973,2.795674222139274,2.8156761714267,2.694927873097183,2.7989760699858053,2.8357570492041697,2.717131621822504,2.7371384102951004,2.9765810363802885,2.9106558654010763,2.950188430366977,2.8745926565048125,2.6384548122522817,2.6524090460379353,2.318589925240178,2.330977980947799,2.888693701260371,2.8347525034538443,2.6015997628103507,2.553436665125833,2.2675657099191175,2.2666093361867534,3.640776092150384,3.685574939204178,,
Stunfisk (Galarian),Mud Shot,Flash Cannon,40,3.0292244702468865,3.0319623259956576,3.016068566226337,3.0307857100598814,2.6718367778539522,2.678066251891185,3.2300587245367347,3.2498267986460774,3.7539606665522887,3.3457809190470646,3.4565556687720456,3.394629972360767,3.320982320668625,3.2523266750548583,2.7071322299528746,2.739770443827621,2.452260313153665,2.5822593272456116,3.2610709411917873,3.247085085385642,3.47065218447768,3.5426158607967873,3.052541303067093,3.1565200456408555,2.9784634314906873,3.0628659070152997,3.1158859742609772,3.1698548777363977,2.9559696058416387,3.0281474114818554,3.3245351459647976,3.3877402593556445,3.426587364750588,3.5604061412642594,3.6993772592942276,3.813507538668918,2.7236069491411925,2.7460438872299036,3.1287589502966004,3.147901745250892,3.115741169865771,3.2535191032462762,3.216102497028083,3.154308592289572,3.31167685788426,3.4332533729597685,3.164856966494507,3.2708538271493004,3.1286373954024973,3.1291180037397424,3.4495793569064674,3.4554198412981068,3.033963886247706,3.120897441372027,2.7692677429982164,2.7974241067727985,3.143338190200708,3.2035411357580705,2.8808733161477558,2.871877681143284,2.5940605248909936,2.642277789107373,3.6360428463740164,3.703369917134341,2.8449600281647416,2.8407748567892765
Stunfisk (Galarian),Metal Claw,Rock Slide,40,3.18578664408497,3.138637612330926,2.486749805910565,2.4871573143977166,3.1788041447218074,3.1408525568779067,2.4906768646707804,2.504557198062752,2.6590952027712516,2.580092065571445,2.522507027495927,2.5170049248721726,2.4275859648512728,2.4344197130303074,,,3.257066669182625,3.5320181575310827,3.2550392215176376,3.2236023394030977,2.524569337418471,2.575307708903078,3.2636602815277693,3.2573330624915924,3.109828292002053,3.131557040213502,3.5760072316544256,3.5989518227820163,3.1407973508277127,3.1597945384548343,2.434548147537116,2.492831458044449,3.3296775032400032,3.3991216200433114,2.5035349611491466,2.5415563231520624,3.2237523855760535,3.2065328772955297,2.5561865357486235,2.587492638925595,3.091031473416425,3.1610906999508663,2.510180991638475,2.4239464331713814,2.478385679618102,2.5507972529159537,3.0640019139695136,3.1044214834554595,2.602008292576771,2.5875937438373806,3.3711042043670543,3.277689422650528,2.983393170218425,3.000789086421649,3.303308513806874,3.2929028858124254,3.210595729873505,3.1821347370230906,2.4219937204106996,2.4016271454400013,3.1905074941747342,3.1825217384894735,2.5441864213269576,2.552498838893556,,
Stunfisk (Galarian),Metal Claw,Muddy Water,40,3.4534089621998785,3.4587966274763935,3.4556134204214684,3.4593546113081404,2.7967410135408852,2.79797394993723,3.6674795860480955,3.647100502161711,3.7448312991581316,3.754857954964042,3.5157724197350624,3.5144326986417393,3.2334522108743324,3.2650553060285725,,,2.5727656073921543,2.7951448074627567,3.6473937340039106,3.5987120160267403,2.7904052767256844,2.849693133438467,3.708922247028835,3.765087359869567,3.3681413349782274,3.4648259338255474,3.5760072316544256,3.5995856477750174,3.4503850991001968,3.5287013066903157,3.4986609723678264,3.564499944711033,3.7442111761902996,3.8018192459976765,2.7985427812056285,2.8471453381980947,2.842998334281983,2.853001013655201,3.6463031173283262,3.6238467927822424,3.3693245157430423,3.4907599782134247,3.397312637803893,3.3164850824913144,3.498831918064392,3.621407311122081,3.3608769572137236,3.4456484032902353,3.761701371411188,3.6895326448014885,3.7726955871679118,3.654452464392122,3.198365519846104,3.275870569731879,2.9305448516845884,2.9441042790837426,2.818918463548911,2.81557819055784,2.6932985586359863,2.664626945837446,2.793865912974123,2.8107376712850467,3.6404344915878752,3.606380588415732,,
Stunfisk (Galarian),Mud Shot,Earthquake,40,3.5971012882018423,3.5518824740535972,3.5943824240308433,3.5532010335651636,2.4311671572215867,2.428832290131235,3.9012517776106366,3.820351494395195,4.671152178354207,3.942638476122099,4.113861044445919,4.006261175068227,3.9290739867798643,3.8383690033062265,,,2.237280343661903,2.332850817847543,3.8677397336928974,3.8225095411582553,5.6566240519008355,5.728274530815759,3.6739696609201227,3.7123218243470637,3.530360452478299,3.6009736680917146,3.716784376921814,3.7218407996753298,3.5639876104565986,3.569407247543227,4.012841749170731,4.041805588909082,4.102454398649511,4.214104775564088,6.245674487954896,6.265493503519889,2.4209378243546387,2.4572407653442268,3.6600995884754415,3.69293966179661,3.7076717827675334,3.824821460538494,3.822148191561807,3.7383233846277086,3.9944125943583186,4.094197089316238,3.7797053950718538,3.8482647040093947,3.7053593593329692,3.6859386330817894,4.104777289942806,4.076862003663733,3.6314572032783654,3.6905942979804194,2.450753276049022,2.489886197146146,3.775214109360519,3.792032341957438,3.327025479377724,3.3298143172843204,2.354656799279834,2.3760201344645457,7.760440864077102,7.707083214070847,,
Stunfisk (Galarian),Mud Shot,Rock Slide,40,4.025640466577689,4.033305209838319,2.9121048361363524,2.956849710698432,3.5733945749923244,3.555420132071556,2.970697745116676,3.0537092165181763,3.230261996542877,3.147373227733923,3.149794516271114,3.210478859297831,3.0489271881501114,3.0890526033160635,,,3.9263345444751194,4.260294457285916,4.289265731286728,4.325047496572794,3.1720920261225913,3.3057993720686025,4.066556307729943,4.128718990073159,3.9748915068239046,4.048003905639063,5.549382765737541,5.521446759465105,3.8661100465274516,3.9957332383261646,3.047048990407491,3.153170114451933,4.559789857849002,4.719604020684148,3.379342856588571,3.496446256292538,3.6052570562828534,3.611599665621415,2.9787874289612977,3.037475631108331,4.127527769279997,4.28716763093846,3.0511427145075047,3.0233198390250955,3.105332774309281,3.2509714579550195,4.19221441238197,4.309434548769076,2.997215192990784,3.019642973032058,4.680333585853951,4.608018324367342,4.038047735285343,4.114462098912467,3.730284306462257,3.717422372923546,4.175190321484031,4.218957587804387,2.9596497450594805,2.9229617403058934,3.456552501632965,3.4573404717970897,3.3802433236687297,3.4402165603748105,,
Stunfisk (Galarian),Mud Shot,Muddy Water,40,4.478911305606812,4.4800633639561145,4.479704211945144,4.478071602469846,3.0336874560547775,3.0553944452162356,6.440743897421781,6.354605062681529,6.696970207853797,6.510155577918475,6.807211685061779,6.737847625221758,4.713153597059874,4.77848924659873,,,2.710871263928608,2.964860176543289,4.830172608680729,4.866540246730798,3.5112058496743006,3.667247207155841,6.107844311488937,6.075371044246871,4.419877756768339,4.49835883817,4.72028453308176,4.759402817109057,4.453764939089474,4.539106898443146,4.9301662391374865,5.047576481985978,5.19118220685312,5.36407569661723,3.843997956531018,3.9785690598423136,3.0714798104931864,3.1000551823843647,4.609399791038363,4.64625850793563,4.612856839337048,4.804549433053891,4.696943161818932,4.67404010135423,4.927675895055162,5.080039316082476,4.742014543409455,4.854607506322187,4.6900975229066475,4.695331114278449,5.320097151315323,5.220507439071618,4.567192535648626,4.647167416579857,3.2093577731564293,3.213424202137332,3.3830428456008694,3.4592295538916185,3.334652684083364,3.297287030933003,2.9371553472630376,2.9644554300564057,5.588740629214045,5.619286098230406,,
Solgaleo,Metal Claw,Heavy Slam,40,1.299761306381068,1.3327157121635942,1.301619587192136,1.3366886546507963,1.3011839406951575,1.3357955932182748,1.274983407302086,1.2988906965646403,1.2853125344001555,1.3219117246434577,1.312571314488248,1.340110766056373,1.2804465120292674,1.3052558163348813,1.2794090805759477,1.3161328018325364,1.176528099152111,1.2819464944383678,1.3043660587202004,1.311630466512983,1.2823618634826066,1.3088139769578937,1.3413370033982088,1.3833135230030003,1.3624163831566527,1.4080043272752727,1.28918133550562,1.3283594917586252,1.2626523127907399,1.3076743065416534,1.272074351139052,1.3262540603799398,1.373059050829143,1.3944568834827453,1.3271710241271608,1.3794941980697484,1.3203808551243847,1.35499357086201,1.3453341571005897,1.380803556600094,1.3178999492234442,1.3696834471542239,1.3088001171268373,1.3236056856239233,1.331019001737083,1.3882108851216264,1.295766102452458,1.3431194205282466,1.3188577780222959,1.3513373779481626,1.3843608510269212,1.3704444586147018,1.302738070220042,1.3277479889779087,1.3831114451030597,1.4148736724298605,1.3216488232611654,1.3423239811350893,1.362725156326889,1.3622216200574477,1.318512893424038,1.3418269258331963,1.3410183886522389,1.3391698978386593,1.3615920194906004,1.3641058452580277
Solgaleo,Metal Claw,Iron Head,40,1.3679255831508998,1.403189381737051,1.3686003918738392,1.4025841834808672,1.3679582702520285,1.403684051991861,1.343138054493992,1.3725945631759695,1.3581172094494685,1.3912037953942213,1.3825719361055788,1.4167069230527936,1.352612214828331,1.3756823603259218,1.352227831785194,1.388826907635433,1.2439681308981108,1.3542507137499988,1.377243383308339,1.3853893522525813,1.3517146387094106,1.3727567243301373,1.4185782734050996,1.4606618013478623,1.438546272820548,1.4860725043965441,1.3658686678751621,1.4012239356975047,1.3304658083327794,1.372352914037309,1.3549749431766303,1.4060717226444897,1.4480444473252991,1.4733148136373497,1.411181803148901,1.4519106127436794,1.4015472762580774,1.4283169202051178,1.423649947129903,1.4657514105879272,1.3945819429044821,1.4416120542226725,1.3832630749390555,1.4007980484723292,1.4025238073042912,1.4510572251030271,1.3695526408170957,1.4116026029170026,1.394842070607276,1.4235537962858786,1.4595723286082434,1.4576640338908333,1.3771685666041111,1.402734796271091,1.4641365644445554,1.490614749981014,1.3989084810007424,1.425343253213304,1.4478402051463686,1.4337178755468154,1.3872634652763502,1.4130656163722748,1.419042102691684,1.424439551788873,1.4294074355666002,1.4367700927193696
Necrozma (Dusk Mane),Metal Claw,Iron Head,40,1.3410627757122602,1.3567251937990563,1.344308809253944,1.3552248307063284,1.3419182767824347,1.3565314177827261,1.2837586776000702,1.3008286589545945,1.2786346274568527,1.3052156309018794,1.307738659753834,1.3218354123752662,1.3255978812622013,1.3275583548447047,1.3177835078848636,1.3379230302066902,1.2235362487222248,1.320903607978635,1.3049448149101912,1.30075683313924,1.3169853772027433,1.3389282878741762,1.3332994573186803,1.3530081310623747,1.3412080571008456,1.3735623607224476,1.3231532073965078,1.3273048604060003,1.2646662198584981,1.2865534440952873,1.3106738797828739,1.3200601192966586,1.3505344006644036,1.374734740708757,1.3277460962074805,1.3620634719557294,1.3213770633140254,1.3410448777976016,1.323802424779469,1.3462474711841919,1.3260222702613316,1.3470904638026715,1.291956230987786,1.3008702626367368,1.3385864805864685,1.3703751429700761,1.3191628948929461,1.3384129718434667,1.3204601244257501,1.3363849885730736,1.3569872263406588,1.3438302783923672,1.2855272381517824,1.2990579406172096,1.3550987433019694,1.3671273678514433,1.3344114158838372,1.3288482681227716,1.381653970917254,1.368159260793308,1.310865365500277,1.3186898183524696,1.3184487617739848,1.3144492605298492,1.3372935319097405,1.337534792300703
Solgaleo,Metal Claw,Flash Cannon,40,1.419196986998658,1.4443899366934387,1.4185421055306249,1.4460029116695572,1.420306330146301,1.4471589114832006,1.4129723922985902,1.4266931772016251,1.4404427318607669,1.446863224346317,1.434362180017579,1.4626109141859323,1.4047504167314666,1.4029546404694913,1.3919622564608094,1.4173820732607003,1.3207869579921487,1.4162253644614438,1.4414547048020658,1.437909523300702,1.4219552177007577,1.4310730771940792,1.4740276194275064,1.5137140447532458,1.4896334138543927,1.5389860313792885,1.4328698978359773,1.4598379400591157,1.4153550502362344,1.4375367170238833,1.420803560393002,1.4648955504686811,1.5149914923163645,1.5463276689938545,1.466984765439877,1.5125897172403073,1.4638761007131615,1.4851851394196598,1.4822245267420247,1.5157165951083031,1.4544687025863239,1.5017267460683228,1.4243756784488928,1.4422086563870458,1.4542862351887527,1.5130880765371755,1.4267918302917746,1.471185397933511,1.442730856874078,1.4721310451097434,1.5334514273793787,1.4928816400000557,1.4173159813714524,1.4483768467187963,1.5054738271219543,1.5318666902686353,1.454427037180506,1.465067651446224,1.4610468027672348,1.4537378453185668,1.4483256206553066,1.4627385459843687,1.4445465041355292,1.459439322612584,1.4875502730019858,1.4853669692870213
