Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Shadow Tyranitar,Smack Down or Bite,Stone Edge,40,1.0383890641558529,1.0657607417610104,1.0672162862215517,1.1161249737095909,1.090766676990186,1.1290800433260086,1.1048650181415103,1.1555413774658598,1.0779010116898438,1.1257261466414041,1.119447812307234,1.0703316104056324,1.0493482228397282,1.0842303307221786,1.115266475753022,1.0734941922557109,1.1025801576985077,1.0751627705149847,1.089525881247837,1.1260532951006081,1.0527554647485236,1.098275910324946,1.0390670866923648,1.073309916565183,1.09397917695786,1.1349697913895962,1.1121270611592124,1.158804389786577,1.1322339535088621,1.1838940366231516,1.0713166242461476,1.1096079340998282,1.0646290399965106,1.122846425611724,1.1188117768551498,1.167706379481127,1.0540506658694877,1.1021224891271855,1.057729516751293,1.1027826963894134,1.063890246456748,1.126069957411157,1.086995140365711,1.1351644503659672,1.063153391620545,1.1185396112403412,1.100575739110336,1.1628669286209579
Shadow Golem,Rock Throw,Stone Edge,30,1.3366128446082757,1.3411022578389125,1.339217332153502,1.375766211471524,1.3891081953996431,1.4203442156337411,1.5364447795629281,1.5090965334570694,1.352954187966968,1.419484860401101,1.3344160125922615,1.2873269095782016,1.5269315969949322,1.407715116808351,1.3946865519294565,1.337667640137231,1.4026412501689083,1.3563460993123766,1.3395520838483215,1.3948840658525732,1.3707156651459598,1.3307341375353354,1.3218698524206833,1.3702667431569695,1.3857392559942243,1.4380818482349813,1.4065957094799537,1.436342579826835,1.4498597629921144,1.4849704107255612,1.322191155635242,1.3906490966310165,1.3148362193047498,1.3742748724211629,1.4309995995700646,1.4994309679866804,1.3308710787953597,1.398538076548472,1.3370897193850628,1.3948192361363556,1.3138448649026042,1.3871046568456329,1.3706730892413335,1.4380588792948834,1.3312745648512072,1.3966605170984734,1.3754701519194805,1.4266668067491752
Aggron,Smack Down,Meteor Beam,50,1.24168313293855,1.2800844131848264,1.2943748946015132,1.3470807698210736,1.3069264260795042,1.3644628410653217,1.3813429228776366,1.4337283864689467,1.3364561362742644,1.3846812104529367,1.419043668772467,1.3074617658945398,1.281900666299631,1.3219089896261873,1.4473333522356744,1.334312474599979,1.363258493471099,1.2874372184465004,1.2866979779502645,1.3345824887526574,1.2191609057068487,1.2950628341123456,1.2408169701117497,1.2888850867393324,1.3175133943838584,1.3884561310179733,1.3422599680141178,1.4096509127006012,1.37771479757412,1.4497276024611228,1.271474604109984,1.3423147811477363,1.2955140227679156,1.367394338552798,1.4070054163417565,1.4712111951779805,1.2936865350678406,1.356310089779072,1.2847426621480587,1.3336773104119517,1.26342246736019,1.3347762340291838,1.3057043053455977,1.3754900202413591,1.3175984599342263,1.389040399989305,1.3428064129772437,1.4016515727763652
Jynx,Frost Breath,Avalanche,50,1.2428054862462092,1.2586390664463698,1.2873735928709884,1.3351283445663644,1.2870380839547928,1.3472340341855973,1.2868820447383176,1.3324362469307658,1.2908474243020054,1.3515398777392484,1.2084593623040434,1.2371663156999126,1.263298898459751,1.3252383202486593,1.2225864073265473,1.2534690521421077,1.2355733271416145,1.2542112885943593,1.265751718000692,1.3084214169179809,1.3223124072881973,1.3029275938313414,1.2516832898881833,1.2938603112618552,1.2715925067446898,1.3218071968689442,1.2920531627419622,1.3508961561793416,1.3353353206361327,1.4042643797999972,1.2409443685193775,1.3023809822335344,1.2479827277881974,1.3148798360012213,1.368089949208624,1.4136546607936942,1.2537729389868755,1.3191641192296937,1.2770383573530963,1.3351313953352018,1.2528939467988551,1.3014382461774767,1.278698745377369,1.3363908888262575,1.2540974840244914,1.3248709927542044,1.2894980143304406,1.348878989724948
Gigalith,Smack Down,Meteor Beam,35,1.2809364854918655,1.2940916878666735,1.3026892956823095,1.3507964809695334,1.2885538387925088,1.3579213347819035,1.3240750407620079,1.3674019939549782,1.324864601580095,1.3830010188395951,1.3512709250632802,1.2654542360623657,1.2833810913094934,1.3276854649574947,1.2470365854811118,1.2815295774381656,1.2562229627754633,1.2911941198973038,1.2858021456469075,1.3381420873090424,1.224643846735145,1.2906350583559574,1.2448863884164159,1.299711148461639,1.305828931869134,1.3391628985066688,1.3318700711410136,1.3629294656151767,1.3666573664811525,1.4077152381092233,1.2702458718357008,1.321564251413669,1.2635538884284905,1.3323810354603742,1.3475310333199857,1.420008851609096,1.2944676419251873,1.3464932159422947,1.284132884599599,1.3351079423525687,1.2868184039656496,1.3259931578579907,1.3065071271789355,1.3691272301792685,1.2883612737627337,1.3506055987807812,1.3287596394276229,1.3866382299174214
Glaceon,Ice Shard or Frost Breath,Avalanche,50,1.1281284644068934,1.1654440396167811,1.1910872197347653,1.243093912183402,1.1996208154924892,1.2458947623706078,1.226859746469978,1.2874195232295111,1.1992524041039574,1.258264665927859,1.1953714929913002,1.1573522217259056,1.1700776410305318,1.227075087676708,1.1746538508794313,1.1983743986692752,1.1343691774212887,1.1690910163617436,1.1600316408760567,1.2248341325950463,1.1372694449886647,1.1976629628593018,1.155500088903203,1.211217235814907,1.1955010069536802,1.2377550632670897,1.2155517564661116,1.2693652456846634,1.2573899763579495,1.3119135376437245,1.1717341424577152,1.2424113243978585,1.1754154490338902,1.2280389933266453,1.2526607515437627,1.3286476005816772,1.1855273435616545,1.2396647990819585,1.1873658782555672,1.2268724275009675,1.1436151644208616,1.2084619144034072,1.1967511337723231,1.2468420917779088,1.184593994812973,1.242199406432983,1.2082116366539892,1.2614359857956337
Mega Abomasnow,Powder Snow,Weather Ball Ice,35,1.2599904714494696,1.3037821015951159,1.4199208350781323,1.4151118218732412,1.2910003490332762,1.3703226673352376,1.4010453118857504,1.4510127667253125,1.3183181103206663,1.3933949701497872,1.325552506753451,1.3068427881649756,1.3373266515517368,1.3701344303940142,1.3291823792376685,1.3483777065789597,1.2983444130840658,1.3242087954125454,1.3032777970040046,1.3701310130024225,1.2625150438019535,1.34047972235439,1.437125306548308,1.3673815826112046,1.3389444085572064,1.4065812972603262,1.3460100369492085,1.4092097281200022,1.3864667616264557,1.4554545588040941,1.303735095352132,1.38020487229961,1.289723906311336,1.3694443232869542,1.3725789795359227,1.4573647495205377,1.3192316222914398,1.4011803392511017,1.2906528137715914,1.37393435510161,1.3045800460797319,1.3776862389164282,1.3370058161879628,1.418996131082016,1.3094435977647656,1.387155423651774,1.3337500787964112,1.4175159168750393
Mega Abomasnow,Powder Snow,Blizzard,35,1.4386553749270852,1.5105149998320286,1.7931480088449463,1.6665220299416967,1.487047260416513,1.5684949127990337,1.5653307039421533,1.6452435731363868,1.4629173667465054,1.5882569799449469,1.5797992044753577,1.4995916023227616,1.612104804553553,1.5956120462811636,1.6192633757690889,1.5813547307834075,1.5272775025550356,1.5481155542190916,1.4957591338310179,1.5638858950907202,1.5011755156875366,1.577567242296174,1.7677278018766964,1.634564223338265,1.5177071854694686,1.5912718014971312,1.5300722439750731,1.5849445761870622,1.5478054009603666,1.6636367641228211,1.4568627205135598,1.577980616121469,1.4306276442622237,1.511231299341388,1.5450272924613795,1.6312251048494173,1.4798599793633498,1.588086673931282,1.4565123069526367,1.5432766162036657,1.4871395657334359,1.5761781749633457,1.5176151067155192,1.6161913790600153,1.4665784337317185,1.5316702761958236,1.506272194322456,1.5834506524342837
Mega Abomasnow,Razor Leaf,Weather Ball Ice,35,1.6109709654070858,1.7034314997999616,1.872191663240229,1.823061283654092,1.651874538104438,1.7982276319648935,1.7521193021802035,1.8429454336884301,1.7027937654166516,1.8438002716905586,1.721092038372365,1.6980473486057046,1.6906171833342725,1.7676014513800682,1.6868562571474477,1.7202283402799436,1.6421027990248043,1.7107699744781921,1.6945152518910367,1.8259277203737578,1.3947073805592096,1.4939656861373114,1.930544792117473,1.7975690844983008,1.5472318273359427,1.63062849108941,1.7703193073402084,1.8742072464567363,1.8181911628658278,1.9644194481563606,1.748536178642627,1.8986672016249357,1.6770946918480394,1.828052078335587,2.0203165504014837,2.222027861493393,1.7447419936547122,1.8855919536350398,1.6432332281857946,1.7977766572463854,1.640480346296167,1.7928506597779796,1.7698292722505489,1.9270798636911015,1.7116788321167884,1.824764043742146,1.7251476119434348,1.8745035826101575
Mega Abomasnow,Razor Leaf,Blizzard,35,2.0416858815588954,2.0633923472301543,2.561650298715891,2.22257697168594,2.0510604548575437,2.152771701102978,2.058515554008855,2.1553415952928745,2.027312050906231,2.2110584313445107,2.4265415948780125,2.0552932167698295,2.2048513722651153,2.13884565864824,2.284618219966543,2.2097611689207706,2.159009807149532,2.158952711382802,2.0603114648736836,2.16449893706432,1.6121749839066304,1.7253659492289177,2.862555648372736,2.3395565575337915,1.7660067636888706,1.849992400349584,2.1626757844813325,2.2436993327083217,2.157094817838735,2.243087270003965,2.0882430382286192,2.22680140928069,2.1118114014044576,2.171228246172635,2.5407595523614828,2.6705304642879724,2.0853720865196386,2.173666091283426,2.1615089649026116,2.183824477877974,2.1261537387418836,2.1553515325001746,2.1010359817913176,2.256313681279732,2.04531964385979,2.1901286061870002,2.0639721796137924,2.2028324683238427
Mega Abomasnow,Powder Snow,Avalanche,35,1.2587780244749371,1.3113392805333544,1.4352005366085656,1.4123207752023177,1.3089485249657111,1.3853114343628996,1.3957607511809704,1.4426103152047123,1.310372948915025,1.38689539913488,1.3301491076936165,1.32110905494225,1.3397564559969133,1.3837530399649727,1.3546003572542458,1.3727825191149923,1.303837025843447,1.352564456362657,1.3107786621842092,1.3755455579176348,1.2842117047776316,1.3545131405860784,1.4374238871164162,1.4069082820881853,1.3292358551506631,1.3980791883573356,1.349065240169856,1.4259306237247007,1.3930160501622637,1.4392281824990087,1.2974033627142445,1.3603946988979023,1.2683299166921098,1.3548872508396215,1.3720837109317372,1.447354001138064,1.3193376985313263,1.3945650391999924,1.2997760240158542,1.370392954724017,1.283460168959017,1.3756475598687425,1.3234517922570397,1.4145122857362475,1.3157936953557392,1.366674687842571,1.3373116765775042,1.4009371519825178
Shadow Walrein,Frost Breath,Icicle Spear,40,1.3443883861628343,1.4085411850218514,1.390212199128769,1.4713174005559355,1.3733951433576346,1.453730149756578,1.4257151879563572,1.5056796138403934,1.3830144246237441,1.4950018768097808,1.3925807755301725,1.3781166911279858,1.3531951603324128,1.4413422231085022,1.3397525683555909,1.3806629051007966,1.348744749568451,1.3810171801162088,1.4065140653581845,1.4551302714193899,1.2894007668840437,1.3729519437991546,1.3047467600653522,1.394186736984068,1.3864992210358325,1.4662290534635407,1.408878839684553,1.4903876909502012,1.4812992848646824,1.5695531505602138,1.390711787053174,1.4895369685419462,1.3607209839926724,1.4538971518297203,1.4797677506375266,1.5748909355307803,1.3807944146038054,1.4760894512001081,1.386446521336351,1.4618126810277097,1.347978775396216,1.4454234448090484,1.4018037869276692,1.5026091709583473,1.3818347103018636,1.45577658351381,1.4233573574835579,1.5050324641213675
Mega Abomasnow,Powder Snow,Weather Ball Ice,45,1.1696509557563746,1.229674716052248,1.2605317957628386,1.3100922959153705,1.215931976200191,1.294554589295985,1.230881168274591,1.2943758096011446,1.213046955993279,1.2783822793407928,1.1774296471188819,1.2123710463063406,1.175411939638542,1.250510454011453,1.191206630941242,1.2392034553479447,1.1625744861856793,1.2190479090578628,1.1942196074553815,1.27053937805903,1.1647849086176494,1.230084805060315,1.2707219946523884,1.2719297362761972,1.2261940950716268,1.3001006953680132,1.2620526112612365,1.3293663486461147,1.2659510418655193,1.3617674268344617,1.2158431234875935,1.3001742793735973,1.1900815632224016,1.2643171806167401,1.296065249004194,1.3820417711648296,1.2298864984233213,1.3131852766179037,1.2066325034886312,1.2893394467441397,1.1962507854499755,1.2640438455630805,1.2357563179516087,1.309667170565477,1.2212106628165023,1.2695783535199594,1.2471685822949719,1.3156058918703117
Mega Abomasnow,Powder Snow,Blizzard,45,1.351550069173612,1.413111529851544,1.4592190753734184,1.499919470819067,1.4049818355217556,1.4819854585854813,1.38300949287551,1.4577563817515098,1.3436796196332177,1.4668609015836698,1.361495756492885,1.3817327122285323,1.3723626542741583,1.4458701994563827,1.4067481357566134,1.4163580859489446,1.3502920448468216,1.4022282574562313,1.3456053789489295,1.4308696297028725,1.3364353886198885,1.4153152901004786,1.5768643672608085,1.5155043830956432,1.3740357943534598,1.4534141429494245,1.400783102630563,1.514321954447692,1.3770980484294923,1.5469390152571991,1.3326479180510802,1.4561229735321037,1.3458585946700397,1.4126793736642387,1.4416952938944971,1.566218466142595,1.368209915235441,1.4670054677480016,1.3778510032013322,1.4795079564243583,1.3335195140682818,1.4389234099001607,1.3682133797945117,1.4760818878270006,1.3885992353145638,1.4504692387904068,1.4050765901115758,1.4714336744342418
Mega Abomasnow,Razor Leaf,Weather Ball Ice,45,1.522169150096049,1.6147533724044625,1.5983848688511233,1.7093256581128886,1.5699910037902065,1.7151544349347898,1.6017413271980874,1.7203294472478394,1.60239114503271,1.7494749401208307,1.512873035117946,1.5745942611618062,1.5225401752233643,1.663741942196231,1.5272845841957525,1.6104945797537025,1.4597255977450978,1.5560537689867213,1.540258070895338,1.6854362980175013,1.2877298552996166,1.379137395393098,1.636375835773978,1.6251606128617775,1.4097731504350801,1.5140213550176693,1.6162576517950697,1.7350907185793856,1.7073818998810555,1.879631125273499,1.6286094010557066,1.7700264553581504,1.5513477559209665,1.695500937758974,1.862937048199119,2.040011380640266,1.6062546408354952,1.7431219201728079,1.5516727839863036,1.7015138900289646,1.551637226837953,1.702806674579348,1.620641061774578,1.7630052866671793,1.5871099703216491,1.6980963075853588,1.6495450820533295,1.7706499127986384
Mega Abomasnow,Razor Leaf,Blizzard,45,1.9240647819275158,1.9494146965675838,1.9744523541995493,2.067002173340483,1.9500079474713112,2.0608006135120123,1.9412447073835626,2.0448788095560326,1.9441313945590388,2.078522146355414,1.8576436304851849,1.8721481292408482,1.913342032365602,2.040231579221162,1.9263659304204825,2.014201328834576,1.8708912458867257,1.903017130633211,1.8359084392149108,1.9654343204627478,1.5169190293599037,1.5804024741806375,2.1990358196036595,2.0838407525572253,1.629013565375993,1.6946745449709315,1.9261457012077428,2.053659074615342,2.010323205920792,2.18777074553224,1.9334729240066701,2.069172611808368,1.8628800104680072,2.016759715619139,2.3123564247929353,2.4284389555101265,1.9205296097358702,1.9954387216848766,1.8993632515215124,2.063006437843733,1.9302380786148154,2.0631362144802066,1.9136539496272003,2.036733369204096,1.9073687869308307,2.0016978155664287,1.9934651509739236,2.0746149482044927
Mega Abomasnow,Powder Snow,Avalanche,45,1.1747145252369158,1.232789819110241,1.2599671440941793,1.3171656002076706,1.2237680190477127,1.3014025238547038,1.2465324903814552,1.3093581836578183,1.2060737139384405,1.2726892896721838,1.1734243719822175,1.2131814604471103,1.184353013087564,1.2704734325485418,1.2083019081913295,1.2481877380513575,1.1682897724353056,1.2257490488796858,1.1834953280268947,1.2604301181588964,1.1623583083769486,1.2234795264351086,1.286291797085988,1.2944708917494474,1.2282175019949084,1.2832104723182736,1.2518060993768267,1.3334031875585948,1.2758924506967797,1.336113599318639,1.1902278169941196,1.2698070388805998,1.1922078771753828,1.2527696602259344,1.294642668970895,1.3453392063057177,1.2163087397178372,1.2887009517931707,1.2256997783693142,1.2810957233486169,1.1760525029672555,1.2570131955595896,1.212653838598649,1.301433976444866,1.211999679152964,1.259431566000909,1.2408123384673573,1.3094387594293038
Shadow Cloyster,Ice Shard or Frost Breath,Avalanche,50,1.2280133277546519,1.2678499986256897,1.2897477826053179,1.3335689206626509,1.2425322446116964,1.2927881204148417,1.2820086486347144,1.3299138358821672,1.2567230007507237,1.3332789654309511,1.395277901856933,1.275585476357603,1.249498216120376,1.2868578141730644,1.251939852750763,1.2528188116098178,1.272645608479102,1.2583450221055776,1.3287605675582141,1.3246749394373856,1.2084189314002631,1.2515687536734865,1.208362268809737,1.2812259919416795,1.2856423604514193,1.3169719192917126,1.3061159212485522,1.3523851541388627,1.3263484045287008,1.3866282911643344,1.2388003560815979,1.299271537294532,1.2241025864701007,1.2808042918829328,1.3027461063457606,1.3677738203123353,1.2554412289414556,1.32157494286348,1.2599059535396415,1.3068119188057743,1.248683934929833,1.305159533617259,1.2795186485263095,1.3375524182872565,1.262426138338547,1.3025186492339778,1.3021789834212352,1.3588178437099452
Weavile,Ice Shard or Snarl,Avalanche,40,1.2611754322205493,1.2771433894153683,1.1906665731896566,1.21789112075777,1.2539847965693143,1.3152589810522453,1.1934394112226026,1.2265658733381024,1.2788112644335607,1.3337794480391805,1.2740093165720119,1.252413162316806,1.2190075300094938,1.2812959246045337,1.269725065449356,1.259631215326018,1.2581718316131647,1.2603928569389438,1.265433331685371,1.3023681218173728,1.2647345293738979,1.2844915894651403,1.2594598040103733,1.3081519204769239,1.2845879089561882,1.3430482197818903,1.1881100755528593,1.243633155021232,1.1968604531637763,1.2335863962760099,1.2428752335218225,1.3077598204546308,1.2441444584987134,1.30671260958695,1.3196590022972032,1.384033383211448,1.245026470843499,1.317987637296406,1.257032963167091,1.3133553009603998,1.269224324513021,1.321992599315786,1.281517162451852,1.3410113846968494,1.2541776957835353,1.3039089863907383,1.1922317244857221,1.2368409993486162
Golem (Alola),Rock Throw,Stone Edge,50,1.2994744027095289,1.34165198190797,1.378691789244712,1.431755782468892,1.3588815859547698,1.4228021964516588,1.4049197971244256,1.4647616469784557,1.3530971829978906,1.4232071997998068,1.30912088145832,1.3319826430987172,1.342244783831938,1.3800508936738383,1.354566333040347,1.3970776980729063,1.3184440261650867,1.3459927336120876,1.3412863993671824,1.4085944529589163,1.4301575750790674,1.392387136499762,1.2968159234023424,1.3494902323896174,1.3773701409735153,1.4348994946232474,1.4154083714774168,1.469497601058843,1.4583327214790232,1.5397582930733198,1.3116215504595208,1.4273731459307646,1.3615824137479828,1.4181750774196362,1.4312419650572192,1.5155113911778963,1.3746709225739882,1.4401585357621578,1.3525335084489372,1.4312534446568244,1.3804230957201704,1.4463939118899671,1.3823054651669273,1.4449341088250618,1.3664073153124248,1.4328761263067833,1.4107919564623563,1.4813515160429493
Darmanitan (Galarian Zen),Ice Fang,Avalanche,50,0.8384223530022569,0.8793340398305628,0.8801896320100652,0.9318571544966546,0.8828182224865917,0.9329479219410839,0.8919139776630641,0.9474495550013212,0.8671933650305651,0.9327275408429556,0.8980707463892965,0.8791610831046731,0.8401140989348743,0.8997624383878756,0.8782103263489183,0.8788851399245796,0.874634824991959,0.879832442956571,0.862022049735502,0.9229722647945815,1.0365529401886422,0.9115928237566122,0.8418328150108865,0.9077520238059293,0.9018695140023559,0.9479613937758864,0.8738763580212872,0.938156951414548,0.8849175465131647,0.9754034567321106,0.8453427285379339,0.9044347204634076,0.8534369956819471,0.9133990491560169,0.900883053383633,0.9746464625176505,0.8684943924242279,0.9167012218054177,0.8673264772447437,0.9293244368352546,0.8487118620400754,0.9170495008029045,0.8810542587990128,0.9428202960191995,0.8625170449987969,0.904641587123339,0.9014624613897586,0.9559580592969259
Aurorus,Rock Throw,Weather Ball Ice or Meteor Beam,30,1.4518518066070725,1.4677296701350182,1.4961961804535782,1.5411769387163459,1.490939063378216,1.5733584375107537,1.5500841018502407,1.5951253149791518,1.489460819361527,1.5600847245558216,1.5594601493204006,1.4554548741837363,1.4404730423926095,1.5127949470471698,1.5883467067396295,1.494475790826694,1.5700041679909713,1.4921236389796606,1.52379097246255,1.5690314925594502,1.3981835483780682,1.4962523440342579,1.4532654314153726,1.5058994823485208,1.5119884485313677,1.5650815062507126,1.5277008768543539,1.58587106380632,1.5968075889513798,1.6641213527364573,1.4894742781197887,1.5715987311458555,1.4756727875430715,1.5596131199022987,1.5274821387173596,1.6369365002423655,1.4978543669659303,1.5746246347602195,1.495796052863023,1.5691569825392546,1.4431124764365009,1.5158276897298053,1.5463287982440408,1.6211107979536585,1.4657228416352504,1.5487420122456619,1.5281986089806896,1.6009014309428253
Mewtwo,Confusion or Psycho Cut,Ice Beam,35,1.3367227894220872,1.4386294157349353,1.4981914093364583,1.6146896594847269,1.5648521852268797,1.6811884173389244,1.562261791981646,1.6727735565738002,1.4048412755156758,1.4906472312587136,1.3199774530449024,1.3998383425860932,1.3604065424814784,1.4543105727922592,1.3420265199845,1.4201423346281437,1.486611994298036,1.5960360312351907,1.3495090720324319,1.439205022989074,1.3131405860785357,1.4062862100814464,1.317998369548808,1.433119630162676,1.4105901128548088,1.4980240908918192,1.502167319252192,1.6008713395466827,1.473237492474192,1.5838264879073114,1.381897513697857,1.4774126408967236,1.3668600340210233,1.4813538622584725,1.2360639844886088,1.3076777171278635,1.3858860741183618,1.4833701385741425,1.3805011902388686,1.4488314551403076,1.351700062835998,1.4639740277874747,1.3921015996652062,1.499235611126769,1.3769417930001873,1.454292665971498,1.533640814439705,1.6670694038788847
Crabominable,Frost Breath,Glaciate,40,1.2245653362326188,1.1896945061187343,1.5339577344962378,1.3225998988174525,1.3118554969463685,1.2814453582670908,1.320717411338605,1.3428635874433683,1.2037075930361418,1.2418202373717513,1.383921468529981,1.1971327079743899,1.3593834669256146,1.2400174269649769,1.3402307975842807,1.2283383897095654,1.397179088485116,1.2164119878271824,1.2336599594601274,1.261751124734266,1.2038148282907442,1.2042738391782586,1.493268517866189,1.3051996631742806,1.2144241364897215,1.2637173690010262,1.2394308718910274,1.3284178017978272,1.2363911364337214,1.3083452033069503,1.1907920307935353,1.2682397783266672,1.1543485846381996,1.2410367688751254,1.2508482792050413,1.3055701911526059,1.2074851252181795,1.2805041514382973,1.220657387103205,1.2641978493614927,1.169161488514976,1.1988130978147036,1.1949405143184129,1.259473724666274,1.2176412395390497,1.259297879735836,1.2502889201739824,1.2960748881090962
Crabominable,Frost Breath,Avalanche,40,1.2507505260553937,1.2728769198349605,1.4302039377822073,1.363984318599967,1.3436502981530731,1.361295323117965,1.3970161565776669,1.4324716921550051,1.2742220176598862,1.3498462803417581,1.305334694658924,1.274064620424138,1.3528982083172574,1.3257173450322313,1.360658557562354,1.3062292664946553,1.3966538074312043,1.301435197256358,1.2819795323083008,1.3383912592079892,1.2410198998012818,1.2752861820929777,1.4090184750920065,1.3435085565139209,1.2749458524907855,1.3464680624691265,1.3516682291953896,1.393547675508741,1.3399756237242837,1.4381708982510757,1.2564915932143887,1.3409105156914125,1.266759715619139,1.3120665590788154,1.345571034162996,1.4152879934245188,1.2826353195305644,1.3609195845668716,1.3460604852422107,1.3566612333923567,1.2366822593032187,1.3014731550652796,1.279894437469574,1.3495178798671075,1.2757813962193525,1.3465415363225584,1.345485490954172,1.3961148116240465
Archeops,Steel Wing,Ancient Power,30,1.6406698082379205,1.6257509078082195,1.7662834740857094,1.6739724002811889,1.6785075795935156,1.685960177433442,1.8164169389504348,1.7360916162377795,2.145519786937404,1.9289270010367139,2.334701040137834,1.7581392380830834,1.6183299592070297,1.6255846920152421,1.6070732560227583,1.5718922188513047,1.6428564631456342,1.5797009323738707,2.4570168586542738,1.8753982300884955,1.6548434045173388,1.4360407512105011,1.5576277270638124,1.6094331330495142,1.5014724322681159,1.4944617547592811,1.6389786576959136,1.6917994816081177,1.6975873360842304,1.7571770510580185,1.5585089709994107,1.6282457966071944,1.569841235224844,1.6425175557203298,1.6537545575249215,1.7503003224514742,1.622465018949074,1.6868918697383775,1.5939233321997726,1.6555694970507875,1.4169377923619353,1.4312504363610976,1.4324818297505275,1.4752192813890526,1.5738215555733803,1.6709045212694849,1.6380828307873339,1.7174780945977182
Shadow Golem,Rock Throw,Stone Edge,35,1.2538793722151131,1.2619114516685652,1.297029515365915,1.3507889017525043,1.281959895584975,1.3326008550495938,1.417725189954179,1.3852522088819288,1.2918975440603437,1.346110535158903,1.3105034777614701,1.2640971646140429,1.4558885367852017,1.3459556002549018,1.3224096704376835,1.2722485279801903,1.3206098589163604,1.270508323611193,1.261165768527216,1.3133435506995599,1.2721122897366284,1.3038624086876207,1.2485968390717834,1.2910791506892514,1.3159079682334613,1.36935250978455,1.334473060166547,1.3654883361826504,1.3874212543502842,1.4338242852317948,1.2676128741050943,1.3313314191857768,1.2673812535438567,1.3055676713045754,1.3466037218908722,1.4179329385234674,1.2668203164929266,1.3258276357534788,1.2782461859586993,1.3218452806735697,1.2366403686378553,1.2964602387767925,1.3051406219307011,1.3639772135249857,1.2708350044116468,1.3284671532846715,1.3167090416255174,1.362904750898279
Shadow Golem,Rock Throw,Stone Edge,45,1.1576959842656755,1.1740670724444702,1.2279089508658307,1.272169683510845,1.1793801627838763,1.235189436581637,1.3727458448530312,1.343046613692168,1.2160342115611482,1.2663059021199012,1.1962435921979027,1.1534766979346138,1.339062845450565,1.2509417930699636,1.205502471481093,1.1979472057614335,1.2277226592163035,1.2048672237944704,1.1837543876996095,1.2343718791714045,1.1561112821517534,1.2151781466035994,1.1707310527145671,1.2088151719186653,1.1940000759965044,1.2360546414864917,1.2495009099431975,1.291336237798489,1.2739540962422355,1.3374792581388861,1.2008350364231353,1.2384116754642225,1.1840188424128757,1.2328150215902647,1.2345254905266707,1.311819005669245,1.1830200869825167,1.2457304313445645,1.1663754587989728,1.2214196090387797,1.1655449277386023,1.2000907631082873,1.2161298863238448,1.2744198758188356,1.1726023368359135,1.240006951685784,1.2455401231325252,1.2948771826605872
Mamoswine,Powder Snow,Avalanche,35,1.2260221050156213,1.2774793319020148,1.2614147745467155,1.3332809104155494,1.2532572342472106,1.3310064448257046,1.3172656909563123,1.4035393667549576,1.2454934222285774,1.3367979837700639,1.2632208112649692,1.236932337863995,1.2555608058020522,1.3300589135457803,1.2862041263810522,1.2915818424111825,1.2460561099131573,1.2567463406371506,1.2239462105107035,1.2948118851040689,1.204380195359512,1.2705029527834533,1.2142902672799312,1.2978928263502385,1.2528403693430104,1.3190428240300947,1.2889979595213148,1.3604478023493078,1.306773961438494,1.4005932539391182,1.2372080193588022,1.3305540579510262,1.2279735682819384,1.3019474854974484,1.3104069632658222,1.3962359586081898,1.243107455231005,1.3338026403340437,1.2421637721777268,1.3235808013884167,1.2447252670529918,1.333805766948265,1.2526753610563086,1.3533184725887588,1.242627202481217,1.3286275768027593,1.2892563720031098,1.3711416024038159
Nihilego,Acid or Poison Jab,Rock Slide,30,1.4463683090182233,1.5454072081041543,1.5241824393331047,1.6229737436974072,1.5406541834014194,1.637569089744157,1.5722264112032687,1.6651135213863595,1.5000312801630142,1.6053940406820861,1.420660242911535,1.4962946419075573,1.4548632936963806,1.549398076097747,1.4601642613437673,1.5244019771848742,1.4491362362089932,1.5148839147902777,1.4817837543876995,1.578654273990211,1.7258109658820566,1.67088639480534,1.4620114936744533,1.5613616615840873,1.6847190029258656,1.8079948322377173,1.5694038493354656,1.6564936855456902,1.7867075874829292,1.9666514926797751,1.5396391539300625,1.6151560364607493,1.5242944999345749,1.6279713874471147,1.798077936310565,1.9398512086661468,1.5308537208651964,1.6288970964040155,1.5120606963190544,1.621316415915194,1.305271242058228,1.381267890804999,1.3469813045000727,1.4229675369596968,1.5333012486297157,1.6139274350953183,1.6047992267445526,1.6974953247462756
